url,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Top Speed,Drive Type,Fuel,Seating Capacity,Price,Mileage,Length,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Valve Configuration,Fuel Supply System,Turbo Charger,Super Charge,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Shock Absorbers Type,Steering Type,Steering Column,Steering Gear Type,Turning Radius,Front Brake Type,Rear Brake Type,Acceleration,0-100kmph,Width,Height,Ground Clearance Unladen,Wheel Base,Front Tread,Rear Tread,Kerb Weight,No. of Doors,No. of Airbags,Battery Warranty,Petrol Highway Mileage,Gross Weight,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Ground Clearance (Laden),Global NCAP Safety Rating,Boot Space,Braking (100-0kmph),0-100Kmph (Tested),Quarter Mile (Tested),City driveability (20-80kmph),Braking (80-0 kmph),Ground Clearance,Alloy Wheel Size Front,Alloy Wheel Size Rear,Diesel Highway Mileage,Quarter Mile,Regenerative Braking,Secondary Fuel Type,Alternate Fuel,Range,Battery Capacity,Charging Time DC,Motor Power,Motor Type,Battery Type,Charging Time (D.C),Charging Port,Charging Options,Acceleration 0-100kmph,Charging Time,Fast Charging,LPG Mileage ARAI,LPG Fuel Tank Capacity,Braking (60-0 kmph),Reported Boot Space,3rd Gear (30-80kmph),4th Gear (40-100kmph),Reported Ground Clearance (Unladen),Charging Time AC,"<a href=""/car-faqs/mg-zs-ev/what-is-the-battery-capacity-of-mg-zs-ev-203.html"" class=""bluelink"" title=""Battery Capacity"">Battery Capacity</a>",Charging Time (A.C),Regenerative Braking Levels,Wireless Charging,Charger Type,Charging Time (15 A Plug Point),Charging Time (7.2 kW AC Fast Charger),Charging Time (50 kW DC Fast Charger),Range - Tested,Emission Control System,CNG Mileage ARAI,CNG Fuel Tank Capacity,Boot Space Rear Seat Folding,Petrol Fuel Tank Capacity (Litres),Petrol Mileage WLTP
https://www.cardekho.com/used-car-details/used-Toyota-fortuner-legender-4x4-at-2023-cars-Vellore_02097245-025d-4020-991d-b2fbc53d5bee.htm,2022,-,Diesel,7 Seats,"30,000 Kms",Vellore,First Owner,2755 cc,Automatic,2022,2755 cc,201.15 bhp,,4WD,Diesel,7.0,₹4.99 Lakh,8 kmpl,4795 mm,2.8 L Diesel engine,2755 cc,201.15bhp@3000-3400rpm,500Nm@1600-2800rpm,4.0,4.0,DOHC,Direct Injection,Yes,,Automatic,6 Speed with Sequential Shift,,,BS VI,Double Wishbone,4-Link With Coil Spring,,,Tilt & Telescopic,,5.8,Ventilated Disc,Ventilated Disc,,,1855 mm,1835 mm,,2745 mm,,,2400 kg,5.0,,,,2735 kg,,80 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Maruti-swift-vdi-bsiv-cars-Samalkota_7f8a090c-8ac4-41a3-8e54-8d4bb8a556c1.htm,2016,-,Diesel,5 Seats,"1,20,000 Kms",Rajahmundry,Second Owner,1248 cc,Manual,2016,1248 cc,74 bhp,155  kmph,FWD,Diesel,5.0,₹7.10 Lakh,25.2 kmpl,3840 mm,DDiS Diesel Engine,1248 cc,74bhp@4000rpm,190Nm@2000rpm,4.0,4.0,DOHC,CRDI,Yes,No,Manual,5 Speed,,,BS IV,MacPherson Strut,Torsion Beam,,Power,Tilt,Rack & Pinion,4.8 meters,Ventilated Disc,Drum,14.8 Seconds,14.8 Seconds,1735 mm,1530 mm,163 mm,2450 mm,,,960 kg,5.0,,,,1405 kg,25.2 kmpl,42 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Maruti-grand-vitara-alpha-plus-hybrid-cvt-bsvi-cars-Sambalpur_3ee11a16-b9c7-4655-ba91-240c5af6b181.htm,2023,-,Petrol,5 Seats,"70,000 Kms",Raipur,First Owner,1490 cc,Automatic,2023,1490 cc,91.18 bhp,,2WD,Petrol,5.0,₹6.06 Lakh,27.97 kmpl,4345 mm,,1490 cc,91.18bhp@5500rpm,122Nm@4400-4800rpm,3.0,4.0,,,,,Automatic,eCVT,27.97 kmpl,45 Litres,BS VI,MacPherson Strut,Torsion Beam,,Power,Tilt & Telescopic,,5.4,Ventilated Disc,Solid Disc,,,1795 mm,1645 mm,,2600 mm,,,1290 - 1295 kg,5.0,,,,1755 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-turbo-imt-bsvi-cars-Kharar_94d4574d-4062-487b-a67e-0f4252c37f9c.htm,2021,Zero Dep,Petrol,5 Seats,"43,000 Kms",Solan,First Owner,998 cc,Manual,2021,998 cc,118.36 bhp,,FWD,Petrol,5.0,₹19.75 Lakh,18.2 kmpl,3995 mm,Smartstream G1.0 T - GDi,998 cc,118.36bhp@6000rpm,172Nm@1500-4000rpm,3.0,4.0,,GDi,Yes,,Manual,6-Speed iMT,18.2 kmpl,45 Litres,BS VI,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle with Coil Spring,,Electric,Tilt,,,Disc,Drum,,,1790 mm,1642 mm,,2500 mm,,,1201 kg,5.0,,,15.33 kmpl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Mahindra-xuv-3xo-revx-a-turbo-cars-Kendrapara_200a7cbe-8434-4549-95fb-966cda249534.htm,2025,-,Petrol,5 Seats,"6,000 Kms",Bhubaneswar,First Owner,1197 cc,Manual,2025,1197 cc,128.73 bhp,,FWD,Petrol,5.0,₹18.75 Lakh,20.1 kmpl,3990 mm,mStallion (TGDi) engine,1197 cc,128.73bhp@5000rpm,230Nm@1500-3750rpm,3.0,4.0,,,Yes,,Manual,6-Speed,20.1 kmpl,,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,,Electric,,,5.3 m,Disc,Disc,,,1821 mm,1647 mm,,2600 mm,,,,5.0,,,,,,,,5 Star,364 Litres,,,,,,,16 Inch,16 Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-bs-iv-cars-Bangalore_7dc55e8e-f651-4ce1-b5ab-82a535c28b83.htm,2014,-,Petrol,5 Seats,"40,000 Kms",Bangalore,First Owner,998 cc,Manual,2014,998 cc,67.04 bhp,152  kmph,FWD,Petrol,5.0,₹15.95 Lakh,20.51 kmpl,3599 mm,K10B Petrol Engine,998 cc,67.04bhp@6200rpm,90Nm@3500rpm,3.0,4.0,DOHC,,No,No,Manual,5 Speed,20.51 kmpl,35 Litres,BS IV,MacPherson Strut,Isolated Trailing Link,Coil Spring,Power,Tilt & Collapsible,Rack & Pinion,4.6 metres,Ventilated Disc,Drum,18.6 Seconds,18.6 Seconds,1495 mm,1700 mm,165 mm,2400 mm,1295 mm,1290 mm,885 kg,5.0,,,,1350 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Kia-carens-luxury-plus-diesel-at-6-str-cars-Bangalore_882c1d09-47ea-4bb2-bdaf-5733da03446f.htm,May 2022,Comprehensive,Diesel,6 Seats,"68,269 Kms",Bangalore,First Owner,1493 cc,Automatic,2022,1493 cc,114.41 bhp,174  kmph,FWD,Diesel,6.0,₹16.75 Lakh,,4540 mm,CRDi VGT,1493 cc,114.41bhp@4000rpm,250Nm@1500-2750rpm,4.0,4.0,,CRDi,Yes,,Automatic,6-Speed,,,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,,Electric,Tilt & Telescopic,,,Disc,Disc,,,1800 mm,1708 mm,,2780 mm,,,,5.0,,,,,,45 Litres,,3 Star,210 Litres,,,,,,,16 Inch,16 Inch,16 kmpl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Hyundai-grand-i10-nios-sportz-cars-Bangalore_828eecb0-9836-4dcf-8765-accd2e847ebb.htm,Nov 2021,Third Party,Petrol,5 Seats,"20,693 Kms",Bangalore,Second Owner,1197 cc,Manual,2021,1197 cc,81.86 bhp,,,Petrol,5.0,₹17.95 Lakh,20.7 kmpl,3805 mm,1.2 Kappa petrol,1197 cc,81.86bhp@6000rpm,113.8nm@4000rpm,4.0,4.0,,,No,,Manual,5-Speed,20.7 kmpl,37 Litres,BS VI,McPherson strut,Coupled torsion beam axle,Gas Filled,Electric,Tilt,,,Disc,Drum,,,1680 mm,1520 mm,,2450 mm,,,1160 kg,5.0,2.0,,15 kmpl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Ford-ecosport-15-ti-vct-mt-titanium-cars-Bangalore_d5012a33-4f11-4da2-b60b-a7d9bb06468f.htm,Oct 2014,Third Party,Petrol,5 Seats,"1,18,961 Kms",Bangalore,First Owner,1499 cc,Manual,2014,1499 cc,110 bhp,182  kmph,FWD,,5.0,₹17.95 Lakh,15.8 kmpl,3999 mm,Ti-VCT Petrol Engine,1499 cc,110bhp@6300rpm,140Nm@4400rpm,4.0,4.0,DOHC,Direct Injection,No,No,Manual,5 Speed,15.8 kmpl,52 Litres,BS IV,McPherson Strut,Twist Beam,Twin Gas & Oil Filled,Power,Tilt & Telescopic Steering,Rack & Pinion,5.3 meters,Ventilated Disc,Drum,16 Seconds,16 Seconds,1765 mm,1708 mm,200 mm,2520 mm,1519 mm,1524 mm,1290 kg,5.0,,,,1740 kg,,,,,,,,,,,200mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Hyundai-verna-16-vtvt-sx-cars-Bangalore_cf97fdce-598e-488e-b23c-b0f3cf86ea9f.htm,Nov 2011,Comprehensive,Petrol,5 Seats,"81,669 Kms",Bangalore,First Owner,1591 cc,Manual,2011,1591 cc,121.3 bhp,196  kmph,FWD,Petrol,5.0,₹15.75 Lakh,17.01 kmpl,4375 mm,VTVT Petrol Engine,1591 cc,121.3bhp@6300rpm,154.9Nm@4200rpm,4.0,4.0,DOHC,MPFI,No,No,Manual,5 Speed,17.01 kmpl,43 Litres,BS IV,MacPherson Strut,Coupled Torsion Beam,Gas Filled,Power,Tilt,Rack & Pinion,5.2 meters,Disc,Drum,10.5 Seconds,10.5 Seconds,1700 mm,1475 mm,165 mm,2570 mm,,,1290 kg,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Maruti-ciaz-at-zxi-cars-Bangalore_adca500c-f00e-471e-abf1-c514d01f8e94.htm,Aug 2016,Comprehensive,Petrol,5 Seats,"82,173 Kms",Bangalore,Third Owner,1373 cc,Automatic,2016,1373 cc,91.1 bhp,190  kmph,FWD,Petrol,5.0,₹6.24 Lakh,19.12 kmpl,4490 mm,k14B VVT Engine,1373 cc,91.1bhp@6000rpm,130Nm@4000rpm,4.0,4.0,DOHC,MPFI,No,No,Automatic,4 Speed,19.12 kmpl,43 Litres,BS IV,MacPherson Strut,Torsion Beam,,Power,Tilt,Rack & Pinion,5.4 meters,Ventilated Disc,Drum,14 Seconds,14 Seconds,1730 mm,1485 mm,170 mm,2650 mm,1495 mm,1505 mm,1010 kg,4.0,,,,1490 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Hyundai-i20-12-asta-option-cars-Bangalore_c106c4a2-8ec5-484a-a975-6add86d1cbdd.htm,Jun 2016,Comprehensive,Petrol,5 Seats,"37,329 Kms",Bangalore,Second Owner,1197 cc,Manual,2016,1197 cc,81.83 bhp,170  kmph,FWD,Petrol,5.0,₹7.08 Lakh,18.6 kmpl,3985 mm,Kappa VTVT Petrol Engine,1197 cc,81.83bhp@6000rpm,114.7Nm@4000rpm,4.0,4.0,DOHC,MPFI,No,No,Manual,5 Speed,18.6 kmpl,45 Litres,BS IV,MacPherson Strut,Coupled Torsion Beam,Gas Filled,Power,Tilt & Telescopic,Rack & Pinion,5.2 metres,Disc,Drum,13.2 Seconds,13.2 Seconds,1734 mm,1505 mm,170 mm,2570 mm,1505 mm,1503 mm,1066 kg,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Volkswagen-polo-petrol-highline-12l-cars-Bangalore_f576d2c1-001c-4857-b872-0dd890320f20.htm,Jul 2016,Comprehensive,Petrol,5 Seats,"69,857 Kms",Bangalore,Second Owner,1198 cc,Manual,2016,1198 cc,73.9 bhp,162.9km/hr kmph,FWD,Petrol,5.0,,16.47 kmpl,3970 mm,In-Line Petrol Engine,1198 cc,73.9bhp@5400rpm,110Nm@3750rpm,3.0,4.0,,MPFI,No,No,Manual,5 Speed,16.47 kmpl,45 Litres,BS IV,McPherson Strut With Stabiliser Bar,Semi Independent Trailing Arm,,Power,Tilt & Telescopic,,4.97 meters,Disc,Drum,14.2 Seconds,14.2 Seconds,1682 mm,1453 mm,168 mm,2456 mm,,,1055 kg,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
