Mileage,Engine,Kerb Weight,Fuel,Transmission Type,Power,No. of Cylinders,Registration Year
19.36 kmpl,999 cc,1219-1252 kg,Petrol,Automatic,113.98 bhp,3.0,May 2023
20.28 kmpl,998 cc,1260 kg,Petrol,Automatic,118.36 bhp,3.0,Jan 2022
24.3 kmpl,1248 cc,1210 kg,None,Manual,88.5 bhp,4.0,Apr 2017
None,2494 cc,1675 kg,Diesel,Manual,100.6 bhp,4.0,Oct 2015
16 kmpl,1197 cc,None,Petrol,Manual,82 bhp,4.0,Sept 2024
14 kmpl,1497 cc,1430 kg,Petrol,Manual,113.18 bhp,4.0,Jul 2020
17.33 kmpl,1199 cc,1230 kg,Petrol,Manual,118.35 bhp,3.0,Oct 2021
17 kmpl,1198 cc,1252 kg,Petrol,Automatic,108.5 bhp,3.0,Jul 2018
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Oct 2019
19 kmpl,1199 cc,1062 kg,Petrol,Automatic,88.7 bhp,4.0,Sept 2015
17.8 kmpl,1497 cc,1065 kg,Petrol,Manual,117.3 bhp,4.0,Sept 2017
18 kmpl,1497 cc,1065 kg,Petrol,Automatic,117.3 bhp,4.0,Feb 2015
19.1 kmpl,1197 cc,1160 kg,Petrol,Manual,82 bhp,4.0,May 2016
26 kmpl,998 cc,820 kg,Petrol,Automatic,67.77 bhp,3.0,Aug 2017
24.3 kmpl,1248 cc,1210 kg,None,Manual,88.5 bhp,4.0,Mar 2019
24.08 kmpl,1497 cc,None,None,Automatic,113.31 bhp,4.0,Feb 2024
18.65 kmpl,1199 cc,952-986 kg,Petrol,Manual,89 bhp,4.0,Jul 2021
24.39 kmpl,998 cc,None,Petrol,Manual,65.71 bhp,3.0,Dec 2025
23.64 kmpl,1497 cc,1105 kg,Diesel,Manual,88.77 bhp,4.0,Jan 2021
21.63 kmpl,998 cc,850 kg,Petrol,Automatic,67.05 bhp,3.0,Jan 2018
23.4 kmpl,1248 cc,1060 kg,Diesel,Manual,74 bhp,4.0,Feb 2014
18.75 kmpl,999 cc,939 kg,Petrol,Manual,71.02 bhp,3.0,Jan 2021
16.5 kmpl,1198 cc,970 kg,Petrol,Automatic,86.8 bhp,4.0,Jun 2015
26.68 kmpl,998 cc,815 kg,Petrol,Automatic,67.77 bhp,3.0,Oct 2015
20.52 kmpl,1197 cc,830-845 kg,Petrol,Manual,81.80 bhp,4.0,Sept 2022
27.4 kmpl,1498 cc,1021 kg,Diesel,Manual,98.63 bhp,4.0,Nov 2018
17.74 kmpl,999 cc,1015 kg,Petrol,Manual,75.10 bhp,3.0,Jan 2020
19.1 kmpl,1197 cc,1120 kg,Petrol,Manual,82 bhp,4.0,Oct 2016
15.9 kmpl,1496 cc,1225 kg,Petrol,Manual,120.69 bhp,3.0,Sept 2018
18.6 kmpl,1197 cc,1066 kg,Petrol,Manual,81.83 bhp,4.0,Jan 2015
18.6 kmpl,1199 cc,920 kg,Petrol,Manual,88.50 bhp,4.0,Dec 2016
18.6 kmpl,1199 cc,934 kg,Petrol,Manual,88.50 bhp,4.0,Aug 2016
21.4 kmpl,1197 cc,880 kg,Petrol,Manual,83.1 bhp,4.0,Oct 2021
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Mar 2017
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Oct 2018
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Jul 2015
18 kmpl,1197 cc,None,Petrol,Manual,82 bhp,4.0,Jun 2023
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Jun 2014
20 kmpl,998 cc,1240 kg,Petrol,Manual,118.36 bhp,3.0,Jan 2021
27.39 kmpl,1248 cc,960-985 kg,Diesel,Manual,74 bhp,4.0,Jan 2022
18.6 kmpl,1199 cc,920 kg,Petrol,Manual,88.50 bhp,4.0,Jul 2016
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Jun 2018
18.9 kmpl,1197 cc,1060 kg,Petrol,Manual,81.86 bhp,4.0,Mar 2018
None,None,1120 kg,Petrol,Manual,None,4.0,Jul 2016
20.89 kmpl,1197 cc,855 kg,Petrol,Automatic,81.80 bhp,4.0,Jul 2018
13.87 kmpl,1498 cc,1295 kg,Petrol,Manual,104.55 bhp,4.0,May 2018
16.2 kmpl,1353 cc,1505 kg,Petrol,Automatic,138 bhp,4.0,Apr 2021
24.3 kmpl,1248 cc,1190 kg,None,Manual,88.5 bhp,4.0,Aug 2019
21.63 kmpl,998 cc,850 kg,Petrol,Automatic,67 bhp,3.0,Apr 2019
26 kmpl,1498 cc,1150 kg,Diesel,Manual,98.6 bhp,4.0,Dec 2015
18 kmpl,1497 cc,1065 kg,Petrol,Automatic,117.3 bhp,4.0,Nov 2015
19.28 kmpl,1199 cc,1030 kg,Petrol,Manual,84.82 bhp,3.0,Jul 2024
23.84 kmpl,1199 cc,980 kg,Petrol,Manual,84 bhp,3.0,Jul 2019
18.9 kmpl,1197 cc,1140 kg,Petrol,Manual,81.86 bhp,4.0,Jul 2017
19.44 kmpl,999 cc,1039 kg,Petrol,Manual,75 bhp,3.0,Jul 2019
18 kmpl,1497 cc,1085 kg,Petrol,Automatic,117.3 bhp,4.0,Nov 2015
18.6 kmpl,1199 cc,917 kg,Petrol,Manual,88.76 bhp,4.0,Mar 2021
20.7 kmpl,1197 cc,1160 kg,Petrol,Manual,81.86 bhp,4.0,Jan 2020
26 kmpl,1498 cc,1150 kg,Diesel,Manual,98.6 bhp,4.0,May 2015
28.09 kmpl,1248 cc,1135 kg,Diesel,Manual,88.5 bhp,4.0,Sept 2016
24.2 kmpl,1498 cc,1246 kg,Diesel,Manual,98.6 bhp,4.0,Aug 2014
20.7 kmpl,1197 cc,1140 kg,Petrol,Automatic,81.86 bhp,4.0,Nov 2020
24.35 kmpl,998 cc,810-835 kg,Petrol,Manual,65.71 bhp,3.0,Feb 2012
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Aug 2014
22.05 kmpl,796 cc,755 kg,Petrol,Manual,47.33 bhp,3.0,Dec 2016
20.85 kmpl,1197 cc,935 kg,Petrol,Manual,83.14 bhp,4.0,Nov 2015
20.51 kmpl,998 cc,885 kg,Petrol,Manual,67.04 bhp,3.0,Sept 2016
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Jan 2016
21.7 kmpl,998 cc,736-775 kg,Petrol,Manual,65.71 bhp,3.0,May 2021
22.05 kmpl,796 cc,755 kg,Petrol,Manual,47.33 bhp,3.0,Jun 2018
22.7 kmpl,799 cc,770 kg,Petrol,Manual,53.64 bhp,3.0,Jun 2018
22 kmpl,814 cc,910 kg,Petrol,Manual,None,3.0,Aug 2013
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Jun 2014
17.57 kmpl,1193 cc,1115 kg,Petrol,Manual,88.7 bhp,4.0,May 2016
19.4 kmpl,1198 cc,925 kg,Petrol,Manual,86.8 bhp,4.0,May 2013
16.47 kmpl,1198 cc,1055 kg,Petrol,Manual,73.9 bhp,3.0,Nov 2013
23.01 kmpl,999 cc,765 kg,Petrol,Manual,67 bhp,3.0,Oct 2020
24.35 kmpl,998 cc,825 kg,Petrol,Manual,65.71 bhp,3.0,Oct 2014
20.51 kmpl,998 cc,890 kg,Petrol,Manual,67.04 bhp,3.0,Nov 2015
21.1 kmpl,814 cc,880 kg,Petrol,Manual,55.2 bhp,3.0,Nov 2013
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Jan 2015
25.17 kmpl,799 cc,710 kg,Petrol,Manual,53.3 bhp,3.0,Sept 2016
18.15 kmpl,1198 cc,1115 kg,None,Manual,82 bhp,3.0,Feb 2018
18 kmpl,1198 cc,950 kg,Petrol,Manual,86.7 bhp,4.0,Sept 2016
15.04 kmpl,1598 cc,1130 kg,Petrol,Manual,103.6 bhp,4.0,Nov 2012
21.1 kmpl,814 cc,860 kg,Petrol,Manual,55.2 bhp,3.0,May 2017
23.59 kmpl,1364 cc,1015 kg,Diesel,Manual,67.05 bhp,4.0,Apr 2014
None,1086 cc,854 kg,Petrol,Manual,62 bhp,4.0,Mar 2012
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,May 2012
15.58 kmpl,1956 cc,1900 kg,None,Manual,167.67 bhp,4.0,Jul 2019
17 kmpl,1956 cc,1695 kg,Diesel,Manual,167.63 bhp,4.0,Nov 2022
18.9 kmpl,1197 cc,1060 kg,Petrol,Manual,81.86 bhp,4.0,Oct 2014
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Jan 2018
23.64 kmpl,1497 cc,1105 kg,Diesel,Manual,88.77 bhp,4.0,Oct 2020
21.1 kmpl,814 cc,910 kg,Petrol,Manual,55.2 bhp,3.0,Nov 2015
24.7 kmpl,796 cc,762 kg,Petrol,Manual,47.3 bhp,3.0,Sept 2019
23 kmpl,1248 cc,1155 kg,Diesel,Manual,88.7 bhp,4.0,Jun 2016
17.41 kmpl,1956 cc,1525 kg,Diesel,Manual,167.68 bhp,4.0,Aug 2019
16.5 kmpl,1353 cc,1535 kg,Petrol,Automatic,138.08 bhp,4.0,Mar 2020
19.33 kmpl,1199 cc,None,Petrol,Manual,86.79 bhp,3.0,Dec 2021
15.42 kmpl,2198 cc,None,Diesel,Automatic,172.45 bhp,4.0,Nov 2024
20.09 kmpl,1199 cc,None,None,Manual,86.63 bhp,3.0,Nov 2022
17.7 kmpl,1497 cc,1180 kg,Petrol,Manual,113.18 bhp,4.0,Nov 2021
22.56 kmpl,1197 cc,875-905 kg,Petrol,Automatic,88.50 bhp,4.0,Jul 2023
17.5 kmpl,1199 cc,1103 kg,None,Manual,88.7 bhp,4.0,Apr 2022
19.12 kmpl,1373 cc,1030 kg,Petrol,Automatic,91.1 bhp,4.0,May 2022
16 kmpl,2179 cc,1655 kg,None,Manual,140 bhp,4.0,Oct 2017
19.89 kmpl,1462 cc,1140 kg,Petrol,Manual,101.65 bhp,4.0,Sept 2022
20.52 kmpl,1197 cc,830-845 kg,Petrol,Manual,81.80 bhp,4.0,Jul 2021
24.3 kmpl,1248 cc,1200 kg,None,Manual,88.5 bhp,4.0,Sept 2016
21.1 kmpl,814 cc,910 kg,Petrol,Manual,55.2 bhp,3.0,Nov 2016
25.8 kmpl,1498 cc,1055 kg,Diesel,Manual,98.6 bhp,4.0,Aug 2013
18 kmpl,1493 cc,1540 kg,Diesel,Automatic,113.43 bhp,4.0,Jul 2021
20 kmpl,1497 cc,1465 kg,None,Manual,115 bhp,4.0,Feb 2021
22.77 kmpl,1498 cc,1240 kg,None,Manual,98.59 bhp,4.0,Apr 2016
19.7 kmpl,796 cc,705 kg,Petrol,Manual,46.3 bhp,3.0,Oct 2015
14.1 kmpl,1368 cc,1580 kg,Petrol,Automatic,160.77 bhp,4.0,Jun 2021
9 kmpl,1451 cc,1820 kg,None,Automatic,141 bhp,4.0,Mar 2022
14 kmpl,1497 cc,1450 kg,Petrol,Automatic,113.18 bhp,4.0,Feb 2021
14.6 kmpl,1956 cc,1700 kg,Diesel,Automatic,167.67 bhp,4.0,May 2022
33.85 km/kg,998 cc,None,CNG,Manual,55.92 bhp,3.0,Jun 2023
20.8 kmpl,1493 cc,1475 kg,Diesel,Manual,113.43 bhp,4.0,Jan 2021
15.85 kmpl,1499 cc,1200 kg,None,Manual,110.4 bhp,4.0,Jul 2015
21.8 kmpl,1493 cc,None,None,Manual,114 bhp,4.0,Apr 2024
20.8 kmpl,1493 cc,1535 kg,Diesel,Manual,113.43 bhp,4.0,Jun 2021
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Oct 2012
23.95 kmpl,998 cc,779 kg,Petrol,Manual,67.05 bhp,3.0,Oct 2017
None,2393 cc,1840 kg,Diesel,Manual,148 bhp,4.0,Jun 2020
10.91 kmpl,3198 cc,1879 kg,None,Automatic,197 bhp,4.0,May 2018
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Aug 2018
12.8 kmpl,2494 cc,1660 kg,Diesel,Manual,None,4.0,Feb 2010
22.05 kmpl,796 cc,757 kg,Petrol,Manual,47.33 bhp,3.0,Jul 2023
20.63 kmpl,1198 cc,845 kg,Petrol,Manual,67.06 bhp,3.0,Nov 2017
15.8 kmpl,1591 cc,1300 kg,Petrol,Manual,121.3 bhp,4.0,Aug 2019
18.9 kmpl,1197 cc,1060 kg,Petrol,Manual,81.86 bhp,4.0,May 2014
17.5 kmpl,1199 cc,1084 kg,None,Manual,88.7 bhp,4.0,Jun 2017
18 kmpl,1497 cc,1080 kg,Petrol,Automatic,117.6 bhp,4.0,Apr 2017
22.77 kmpl,1498 cc,1240 kg,None,Manual,98.59 bhp,4.0,May 2015
14.8 kmpl,1497 cc,1320 kg,None,Automatic,121.36 bhp,3.0,Sept 2018
24.3 kmpl,1248 cc,1210 kg,None,Manual,88.5 bhp,4.0,Nov 2017
23.56 kmpl,1197 cc,835 kg,Petrol,Manual,88.50 bhp,4.0,Jan 2024
21.21 kmpl,1197 cc,860-895 kg,Petrol,Automatic,81.80 bhp,4.0,Aug 2019
18 kmpl,1497 cc,1085 kg,Petrol,Automatic,117.3 bhp,4.0,Nov 2016
22.7 kmpl,1598 cc,1250 kg,None,Manual,118 bhp,4.0,Apr 2016
26.68 kmpl,998 cc,815 kg,Petrol,Automatic,67.77 bhp,3.0,Nov 2016
18.55 kmpl,1462 cc,1130-1170 kg,Petrol,Manual,103.25 bhp,4.0,Jul 2022
27.39 kmpl,1248 cc,960-985 kg,Diesel,Manual,74 bhp,4.0,Apr 2016
18.9 kmpl,1197 cc,1200 kg,Petrol,Automatic,81.86 bhp,4.0,Apr 2018
17.5 kmpl,1199 cc,1084 kg,None,Manual,88.7 bhp,4.0,May 2017
20.7 kmpl,1197 cc,1140 kg,Petrol,Automatic,81.86 bhp,4.0,Jun 2020
20 kmpl,999 cc,947 kg,Petrol,Manual,72 bhp,3.0,Dec 2020
17 kmpl,1198 cc,1252 kg,Petrol,Automatic,108.5 bhp,3.0,Aug 2019
20.14 kmpl,1498 cc,1142 kg,Diesel,Manual,88 bhp,4.0,Apr 2015
20.85 kmpl,1197 cc,945 kg,Petrol,Manual,83.14 bhp,4.0,Jul 2016
20.51 kmpl,998 cc,885 kg,Petrol,Manual,67.04 bhp,3.0,Oct 2015
19.1 kmpl,1493 cc,None,None,Automatic,114 bhp,4.0,Apr 2024
13 kmpl,1591 cc,1280 kg,None,Manual,121.3 bhp,4.0,Mar 2016
15.31 kmpl,1498 cc,1259 kg,Petrol,Manual,119 bhp,4.0,Mar 2024
23.01 kmpl,999 cc,710 kg,Petrol,Manual,67 bhp,3.0,Oct 2018
18.7 kmpl,1199 cc,1042 kg,Petrol,Manual,88.7 bhp,4.0,Oct 2016
24.35 kmpl,998 cc,810-835 kg,Petrol,Manual,65.71 bhp,3.0,Jul 2013
22.05 kmpl,796 cc,755 kg,Petrol,Manual,47.33 bhp,3.0,Apr 2014
22.05 kmpl,796 cc,755 kg,Petrol,Manual,47.33 bhp,3.0,Jul 2017
19.7 kmpl,796 cc,705 kg,Petrol,Manual,46.3 bhp,3.0,Aug 2015
24.35 kmpl,998 cc,825 kg,Petrol,Manual,65.71 bhp,3.0,Jul 2014
21.74 kmpl,999 cc,730 kg,Petrol,Manual,67 bhp,3.0,Apr 2016
22.05 kmpl,796 cc,755 kg,Petrol,Manual,47.33 bhp,3.0,Nov 2019
18.88 kmpl,999 cc,1290 kg,None,Manual,123.37 bhp,3.0,Aug 2014
24.35 kmpl,998 cc,810-835 kg,Petrol,Manual,65.71 bhp,3.0,Feb 2013
16.93 kmpl,1197 cc,1164 kg,Petrol,Automatic,103.2 bhp,4.0,Oct 2014
19.7 kmpl,796 cc,705 kg,Petrol,Manual,46.3 bhp,3.0,Apr 2016
24.35 kmpl,998 cc,810-835 kg,Petrol,Manual,65.71 bhp,3.0,Apr 2013
21.1 kmpl,814 cc,910 kg,Petrol,Manual,55.2 bhp,3.0,Aug 2013
22.7 kmpl,799 cc,770 kg,Petrol,Manual,53.64 bhp,3.0,Sept 2016
24.35 kmpl,998 cc,825 kg,Petrol,Manual,65.71 bhp,3.0,Apr 2013
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,May 2013
19.7 kmpl,796 cc,705 kg,Petrol,Manual,46.3 bhp,3.0,Oct 2019
21.21 kmpl,1197 cc,855-885 kg,Petrol,Manual,81.80 bhp,4.0,May 2012
26.68 kmpl,998 cc,815 kg,Petrol,Automatic,67.77 bhp,3.0,Apr 2015
14.7 kmpl,1150 cc,1075 kg,Petrol,Manual,None,4.0,Nov 2011
21.1 kmpl,1248 cc,1100 kg,Diesel,Manual,73.9 bhp,4.0,Dec 2009
21.1 kmpl,814 cc,910 kg,Petrol,Manual,55.2 bhp,3.0,Jun 2013
18 kmpl,995 cc,840 kg,Petrol,Manual,62 bhp,4.0,Nov 2008
22.05 kmpl,796 cc,755 kg,Petrol,Manual,47.33 bhp,3.0,Apr 2021
15.1 kmpl,2179 cc,1785 kg,None,Manual,152.87 bhp,4.0,Apr 2017
18.5 kmpl,1199 cc,1190 kg,Petrol,Automatic,86.83 bhp,3.0,Aug 2023
21.21 kmpl,1197 cc,860-895 kg,Petrol,Manual,81.80 bhp,4.0,Jan 2021
None,1462 cc,1275 kg,CNG,Manual,86.63 bhp,4.0,2024
16.92 kmpl,1498 cc,1213 kg,Petrol,Automatic,119 bhp,4.0,2023
14.8 kmpl,1591 cc,1300 kg,Petrol,Automatic,121.3 bhp,4.0,Apr 2018
17.33 kmpl,1199 cc,1230 kg,Petrol,Manual,118.35 bhp,3.0,Feb 2021
27.39 kmpl,1248 cc,960-985 kg,Diesel,Manual,74 bhp,4.0,Mar 2017
20.09 kmpl,1199 cc,None,None,Manual,87 bhp,3.0,Nov 2022
16 kmpl,2179 cc,1860 kg,None,Manual,140 bhp,4.0,Sept 2015
17.29 kmpl,1493 cc,1505 kg,None,Manual,100 bhp,3.0,Sept 2021
22.9 kmpl,1248 cc,1050 kg,Diesel,Manual,74 bhp,4.0,Oct 2013
12.8 kmpl,2494 cc,1660 kg,Diesel,Manual,None,4.0,Nov 2009
17.01 kmpl,1582 cc,1320 kg,None,Automatic,126.2 bhp,4.0,Sept 2015
17 kmpl,1198 cc,1252 kg,Petrol,Manual,108.5 bhp,3.0,Sept 2020
15 kmpl,1497 cc,None,None,Manual,116 bhp,4.0,Aug 2025
15.31 kmpl,1498 cc,1259 kg,Petrol,Manual,119 bhp,4.0,Oct 2023
12 kmpl,1199 cc,None,None,Manual,118 bhp,3.0,Oct 2024
17.8 kmpl,1493 cc,1495 kg,Diesel,Automatic,113.42 bhp,4.0,Jun 2022
14.1 kmpl,1368 cc,1580 kg,Petrol,Automatic,160.77 bhp,4.0,Jun 2021
None,1497 cc,1400 kg,Petrol,Automatic,113.43 bhp,4.0,Jul 2023
None,2143 cc,1570 kg,Diesel,Automatic,134.1 bhp,4.0,Mar 2018
16 kmpl,1368 cc,1562 s kg,None,Automatic,160.77 bhp,4.0,Jul 2019
25.17 kmpl,799 cc,710 kg,Petrol,Manual,53.3 bhp,3.0,Apr 2018
16.2 kmpl,1199 cc,1030 kg,Petrol,Manual,74 bhp,3.0,Jul 2015
20.36 kmpl,1197 cc,960 kg,Petrol,Manual,78.9 bhp,4.0,Jan 2011
18.15 kmpl,998 cc,1440 kg,Petrol,Automatic,118.35 bhp,3.0,Jun 2019
20 kmpl,999 cc,None,Petrol,Manual,71.01 bhp,3.0,Oct 2023
18.06 kmpl,1198 cc,940 kg,Petrol,Manual,75 bhp,3.0,Jul 2011
17 kmpl,1198 cc,1252 kg,Petrol,Manual,108.5 bhp,3.0,Jul 2019
18.6 kmpl,1197 cc,970 kg,Petrol,Manual,85.8 bhp,4.0,Mar 2013
20.08 kmpl,999 cc,1255 kg,Petrol,Manual,113.98 bhp,3.0,Jun 2022
17.05 kmpl,1199 cc,1310 kg,Petrol,Automatic,118.35 bhp,3.0,Mar 2023
18.15 kmpl,998 cc,1440 kg,Petrol,Automatic,118.35 bhp,3.0,Sept 2019
None,2393 cc,1805 kg,Diesel,Manual,147.8 bhp,4.0,Sept 2018
22.77 kmpl,1498 cc,1240 kg,None,Manual,98.59 bhp,4.0,Oct 2017
20 kmpl,999 cc,None,Petrol,Manual,71.01 bhp,3.0,Nov 2022
19.4 kmpl,1198 cc,925 kg,Petrol,Manual,86.8 bhp,4.0,Jan 2017
20 kmpl,999 cc,None,Petrol,Manual,71.01 bhp,3.0,Jan 2021
20.14 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Nov 2015
17.33 kmpl,1199 cc,1200 kg,Petrol,Manual,118.35 bhp,3.0,Sept 2021
19.4 kmpl,1198 cc,925 kg,Petrol,Manual,86.8 bhp,4.0,Mar 2014
19.17 kmpl,999 cc,None,None,Manual,71 bhp,3.0,Apr 2023
13.7 kmpl,1997 cc,1505 kg,None,Automatic,153.86 bhp,4.0,Sept 2015
25.24 kmpl,998 cc,810 kg,Petrol,Manual,67.77 bhp,3.0,Aug 2024
19.03 kmpl,999 cc,None,None,Automatic,71 bhp,3.0,Jun 2021
21.21 kmpl,1197 cc,855-885 kg,Petrol,Manual,81.80 bhp,4.0,Sept 2013
23.01 kmpl,999 cc,710 kg,Petrol,Manual,67 bhp,3.0,Jul 2018
19.02 kmpl,1198 cc,886 kg,Petrol,Manual,67.05 bhp,3.0,Nov 2018
22.05 kmpl,796 cc,762 kg,Petrol,Manual,47.33 bhp,3.0,Oct 2020
22.25 kmpl,799 cc,690 kg,Petrol,Manual,53.26 bhp,3.0,Feb 2016
19.7 kmpl,796 cc,705 kg,Petrol,Manual,46.3 bhp,3.0,Apr 2018
18.7 kmpl,1199 cc,1042 kg,Petrol,Manual,88.7 bhp,4.0,Aug 2016
21.1 kmpl,814 cc,880 kg,Petrol,Manual,55.2 bhp,3.0,Jan 2016
20.51 kmpl,998 cc,870 kg,Petrol,Manual,67.04 bhp,3.0,Nov 2014
19.7 kmpl,796 cc,705 kg,Petrol,Manual,46.3 bhp,3.0,Sept 2018
24.04 kmpl,999 cc,730 kg,Petrol,Automatic,67 bhp,3.0,Dec 2017
21.1 kmpl,814 cc,880 kg,Petrol,Manual,55.2 bhp,3.0,Mar 2015
19.7 kmpl,796 cc,705 kg,Petrol,Manual,46.3 bhp,3.0,Feb 2017
20.51 kmpl,998 cc,885 kg,Petrol,Manual,67.04 bhp,3.0,Dec 2016
20.51 kmpl,998 cc,885 kg,Petrol,Manual,67.04 bhp,3.0,Jan 2018
23.01 kmpl,999 cc,765 kg,Petrol,Manual,67 bhp,3.0,Feb 2020
23.01 kmpl,999 cc,710 kg,Petrol,Manual,67 bhp,3.0,Nov 2017
19.7 kmpl,796 cc,705 kg,Petrol,Manual,46.3 bhp,3.0,Nov 2015
24.79 kmpl,1197 cc,920-960 kg,Petrol,Manual,80 bhp,3.0,Sept 2018
17 kmpl,1197 cc,1435 kg,None,Manual,110 bhp,3.0,Mar 2019
24.3 kmpl,1248 cc,1195 kg,None,Automatic,88.5 bhp,4.0,Jun 2018
22.05 kmpl,796 cc,755 kg,Petrol,Manual,47.33 bhp,3.0,May 2014
25.17 kmpl,799 cc,710 kg,Petrol,Manual,53.3 bhp,3.0,Apr 2017
22.05 kmpl,796 cc,755 kg,Petrol,Manual,47.33 bhp,3.0,Mar 2016
16.56 kmpl,1451 cc,1820 kg,Petrol,Automatic,141 bhp,4.0,Nov 2021
16.35 kmpl,1956 cc,1675 kg,Diesel,Manual,167.67 bhp,4.0,Mar 2023
11 kmpl,1199 cc,None,None,Automatic,118 bhp,3.0,Feb 2025
14.7 kmpl,1496 cc,1300 kg,Petrol,Automatic,120.69 bhp,3.0,May 2019
19.28 kmpl,1199 cc,None,Petrol,Manual,85 bhp,3.0,Mar 2022
8 kmpl,1997 cc,None,None,Automatic,150.19 bhp,4.0,Oct 2022
19.01 kmpl,1462 cc,1135-1170 kg,Petrol,Manual,103.26 bhp,4.0,Apr 2021
17.1 kmpl,1956 cc,1537 s kg,None,Manual,170 bhp,4.0,Feb 2020
20.52 kmpl,1197 cc,830-845 kg,Petrol,Manual,81.80 bhp,4.0,Jun 2020
20 kmpl,999 cc,None,Petrol,Manual,71.01 bhp,3.0,Mar 2023
18.49 kmpl,1493 cc,1755 kg,None,Manual,100 bhp,3.0,May 2016
18.3 kmpl,1197 cc,895 kg,Petrol,Manual,None,4.0,Feb 2011
13 kmpl,2982 cc,1880 kg,None,Manual,168.5 bhp,4.0,Oct 2015
21 kmpl,1197 cc,1105 kg,Petrol,Manual,81.80 bhp,4.0,Nov 2020
23 kmpl,1498 cc,1280 kg,None,Manual,98.96 bhp,4.0,Apr 2019
23.01 kmpl,999 cc,690 kg,Petrol,Manual,67 bhp,3.0,Oct 2017
15.29 kmpl,1591 cc,1300 kg,None,Manual,121.3 bhp,4.0,Aug 2017
15.1 kmpl,2179 cc,1635 kg,Diesel,Manual,140 bhp,4.0,Apr 2012
19.01 kmpl,1461 cc,1390 kg,None,Manual,108.5 bhp,4.0,Aug 2014
15.1 kmpl,2179 cc,1940 kg,Diesel,Manual,140 bhp,4.0,Jun 2012
25.5 kmpl,1498 cc,1198 kg,None,Manual,98.6 bhp,4.0,Mar 2018
26.6 km/kg,998 cc,960 kg,CNG,Manual,58.16 bhp,3.0,Dec 2013
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Apr 2014
22.05 kmpl,796 cc,755 kg,Petrol,Manual,47.33 bhp,3.0,Dec 2019
20.36 kmpl,1197 cc,930 kg,Petrol,Manual,78.9 bhp,4.0,Aug 2011
23.59 kmpl,1364 cc,920 kg,Diesel,Manual,None,4.0,Feb 2012
16.47 kmpl,1198 cc,1030 kg,Petrol,Manual,73.9 bhp,3.0,Jan 2012
11.88 km/kg,1086 cc,845 kg,CNG,Manual,62.1 bhp,3.0,Feb 2010
22.5 kmpl,999 cc,730 kg,Petrol,Manual,67 bhp,3.0,Mar 2018
16.1 kmpl,1197 cc,1010 kg,Petrol,Manual,None,4.0,Jun 2011
19.1 kmpl,1197 cc,1160 kg,Petrol,Manual,82 bhp,4.0,Sept 2015
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Nov 2012
11 kmpl,1353 cc,1465 kg,Petrol,Automatic,138.12 bhp,4.0,Dec 2020
17.29 kmpl,1493 cc,1505 kg,None,Manual,100 bhp,3.0,Sept 2021
25.1 kmpl,1248 cc,1230 kg,None,Manual,88.5 bhp,4.0,May 2018
20.3 kmpl,1086 cc,1070 kg,Petrol,Automatic,68.05 bhp,4.0,Jun 2021
18.49 kmpl,1493 cc,1725 kg,None,Manual,100 bhp,3.0,Mar 2016
22.7 kmpl,799 cc,770 kg,Petrol,Manual,53.64 bhp,3.0,Aug 2017
22.05 kmpl,796 cc,755 kg,Petrol,Manual,47.33 bhp,3.0,Jul 2019
17.1 kmpl,1199 cc,1063 kg,Petrol,Manual,88.50 bhp,4.0,Aug 2022
17.1 kmpl,1199 cc,1063 kg,Petrol,Manual,88.50 bhp,4.0,Aug 2021
17 kmpl,1499 cc,1117 kg,Petrol,Manual,None,4.0,Jul 2021
14.59 kmpl,1999 cc,1240 kg,Petrol,Manual,149.92 bhp,4.0,May 2017
16.5 kmpl,1197 cc,None,Petrol,Automatic,108.62 bhp,3.0,Jul 2023
18 kmpl,1493 cc,1430 kg,Diesel,Manual,113.98 bhp,4.0,Jun 2023
