Engine,No. of Cylinders,Valves Per Cylinder,Valve Configuration,Fuel Supply System,Fuel Type,Engine Type,Emission Norm Compliance,Kerb Weight,Drive Type,Transmission,Power
1493 cc,4.0,4.0,,CRDi,Diesel,CRDi VGT,BS VI 2.0,,FWD,Manual,114.41 bhp
1950 cc,4.0,4.0,,CRDI,Diesel,OM 654 Diesel engine,BS VI,1745 kg,AWD,Automatic,194 bhp
1497 cc,4.0,4.0,DOHC,MPI,Petrol,Smartstream G1.5,BS VI,1555 kg,2WD,Automatic,113.42 bhp
1462 cc,4.0,4.0,,,Petrol,K15B Smart Hybrid,BS VI,1130-1170 kg,FWD,Automatic,103.25 bhp
999 cc,3.0,4.0,,TSI,Petrol,1.0L TSI,BS VI,1220 kg,,Manual,113.98 bhp
1798 cc,4.0,4.0,DOHC,Direct Injection,Petrol,1.8TSI Petrol Engine,BS IV,1376 kg,FWD,Automatic,178 bhp
1197 cc,3.0,4.0,,,Petrol,1.2L Petrol,BS VI,1450 kg,,Manual,108.62 bhp
1498 cc,4.0,4.0,,,Diesel,1.5 L Diesel Engine,BS VI,1277 kg,FWD,Manual,99.23 bhp
1498 cc,4.0,4.0,,,Petrol,VTi-TECH,BS VI,1450 kg,,Manual,108.49 bhp
2487 cc,4.0,4.0,DOHC,VVT-iE,Petrol,A25B-FXS,BS VI,,RWD,Automatic,175.67 bhp
1498 cc,4.0,4.0,SOHC,Direct Injection,Diesel,TDCi Diesel Engine,BS IV,1300 kg,FWD,Manual,98.96 bhp
1197 cc,3.0,4.0,DOHC,MPFI,Petrol,1.2 Petrol Engine,BS IV,1295 kg,FWD,Manual,110 bhp
1197 cc,3.0,4.0,,,Petrol,1.2L Petrol,BS VI,1430 kg,,Manual,108.62 bhp
1995 cc,4.0,4.0,,,Petrol,2.0L GME T4,BS VI 2.0,2097 kg,4WD,Automatic,268.27 bhp
1353 cc,4.0,4.0,DOHC,GDI,Petrol,,BS VI,1445 kg,2WD,Manual,138 bhp
1493 cc,4.0,4.0,,CRDi,Diesel,1.5 L CRDi WGT,BS VI,1215 kg,FWD,Manual,98.63 bhp
1199 cc,4.0,4.0,SOHC,,Petrol,1.2 i-VTEC,BS VI,1042 kg,,Manual,88.50 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa VTVT Petrol Engine,,1120 kg,FWD,Manual,81.86 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa VTVT Petrol Engine,,1060 kg,FWD,Manual,81.86 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,K12M Petrol Engine,BS VI,830-845 kg,FWD,Manual,81.80 bhp
1199 cc,3.0,4.0,DOHC,MPFi,Petrol,Revotron Engine,BS IV,1017 kg,FWD,Manual,83.81 bhp
2993 cc,6.0,4.0,,Direct Injection,Diesel,TwinPower Turbo 6-cylinder engine,BS VI,1890 kg,4WD,Automatic,261.50 bhp
1493 cc,4.0,4.0,,CRDi,Diesel,1.5 L CRDi VGT,BS VI,1535 kg,FWD,Manual,113.43 bhp
1498 cc,4.0,4.0,DOHC,,Petrol,Water Cooled Inline i-VTEC DOHC with VTC,BS VI,1107-1153 kg,,Manual,119.35 bhp
1482 cc,4.0,4.0,DOHC,,Petrol,1.5l Turbo GDi,BS VI 2.0,,FWD,Manual,158 bhp
1493 cc,4.0,4.0,,DPFi,Diesel,Smartstream G1.5,BS VI,1540 kg,2WD,Manual,113.42 bhp
999 cc,3.0,4.0,,TSI,Petrol,1.0L TSI,BS VI,1285 kg,,Automatic,113.98 bhp
1493 cc,4.0,4.0,,CRDi,Diesel,1.5 L CRDi VGT,BS VI,kerb weight kg,FWD,Automatic,113.43 bhp
1956 cc,4.0,4.0,DOHC,CRDI,Diesel,2.0-Litre 4-Cyl Multijet,BS IV,1537 s kg,4X2,Manual,170 bhp
