Mileage,Engine,Kerb Weight,Fuel,Transmission Type,Power,No. of Cylinders,Registration Year
22.25 kmpl,799 cc,690 kg,Petrol,Manual,53.26 bhp,3.0,May 2016
17 kmpl,1197 cc,1020 kg,Petrol,Manual,,4.0,May 2012
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Feb 2013
23.01 kmpl,999 cc,710 kg,Petrol,Manual,67 bhp,3.0,May 2018
18.5 kmpl,1198 cc,930 kg,Petrol,Manual,86.8 bhp,4.0,Mar 2015
27.28 kmpl,1047 cc,1050 kg,Diesel,Manual,69 bhp,3.0,Jun 2018
28.4 kmpl,1248 cc,960 kg,Diesel,Manual,74 bhp,4.0,Oct 2016
20.3 kmpl,1199 cc,1052 kg,Petrol,Manual,84 bhp,3.0,Apr 2022
16 kmpl,1194 cc,1081-1094 kg,Petrol,Automatic,95.48 bhp,3.0,Nov 2021
18.6 kmpl,1197 cc,1066 kg,Petrol,Manual,81.83 bhp,4.0,Sept 2016
18.6 kmpl,1199 cc,905 kg,Petrol,Manual,88.76 bhp,4.0,Jul 2020
20.52 kmpl,1197 cc,830-845 kg,Petrol,Automatic,81.80 bhp,4.0,2020
,2393 cc,,Diesel,Manual,147.51 bhp,4.0,Jul 2016
20 kmpl,1482 cc,,Petrol,Manual,157.57 bhp,4.0,May 2024
16.35 kmpl,1956 cc,1675 kg,Diesel,Manual,167.67 bhp,4.0,Aug 2021
17.23 kmpl,999 cc,1255 kg,,Automatic,113.98 bhp,3.0,Dec 2023
24.1 kmpl,1493 cc,,Diesel,Manual,114 bhp,4.0,Mar 2024
20.8 kmpl,1493 cc,1535 kg,Diesel,Manual,113.43 bhp,4.0,2022
18.12 kmpl,999 cc,1224 kg,Petrol,Automatic,113.98 bhp,3.0,Jun 2023
17 kmpl,1497 cc,1100 kg,Petrol,Manual,,4.0,Feb 2023
18.2 kmpl,998 cc,1245 kg,Petrol,Automatic,118.36 bhp,3.0,Oct 2023
23.7 kmpl,1498 cc,1360 kg,Diesel,Manual,98.6 bhp,4.0,Aug 2019
16.5 kmpl,1353 cc,1535 kg,Petrol,Automatic,138.08 bhp,4.0,Oct 2020
19.67 kmpl,1582 cc,1300 kg,,Manual,126.2 bhp,4.0,Nov 2017
16.65 kmpl,1956 cc,1860 kg,Diesel,Manual,167.67 bhp,4.0,Apr 2023
16.8 kmpl,1497 cc,1404 kg,Petrol,Manual,113.43 bhp,4.0,2020
19.67 kmpl,1582 cc,1280 kg,,Manual,126.2 bhp,4.0,Mar 2016
,2494 cc,1675 kg,Diesel,Manual,100.6 bhp,4.0,Oct 2013
13.47 kmpl,1984 cc,1970 kg,Petrol,Automatic,245.59 bhp,4.0,2023
11 kmpl,1397 cc,1465 kg,Petrol,Automatic,138.12 bhp,4.0,Apr 2022
,1493 cc,1468 kg,Diesel,Automatic,113.43 bhp,4.0,Nov 2019
19.2 kmpl,998 cc,1260 kg,Petrol,Automatic,118.41 bhp,3.0,Jul 2021
17.7 kmpl,1497 cc,,Petrol,Automatic,113.42 bhp,4.0,Jul 2023
17.1 kmpl,1591 cc,1198 kg,Petrol,Automatic,121.4 bhp,4.0,Jun 2021
,2393 cc,,Diesel,Manual,147.51 bhp,4.0,Nov 2019
,1950 cc,2150 kg,Diesel,Automatic,241.38 bhp,4.0,Nov 2021
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Aug 2010
22.05 kmpl,796 cc,755 kg,Petrol,Manual,47.33 bhp,3.0,2020
19.15 kmpl,1198 cc,1100 kg,Petrol,Automatic,75.94 bhp,3.0,Apr 2016
23.9 kmpl,1582 cc,1230 kg,Diesel,Manual,126.2 bhp,4.0,Sept 2016
21.01 kmpl,1197 cc,865-890 kg,Petrol,Manual,81.80 bhp,4.0,Feb 2021
14.8 kmpl,1497 cc,1320 kg,,Automatic,121.36 bhp,3.0,Oct 2018
13 kmpl,1591 cc,1280 kg,,Automatic,121.3 bhp,4.0,Feb 2019
17.4 kmpl,999 cc,,,,98.63 bhp,,Sept 2023
22 kmpl,1582 cc,1285 kg,Diesel,Automatic,126.2 bhp,4.0,Jan 2018
22.1 kmpl,1396 cc,1200 kg,Diesel,Manual,88.7 bhp,4.0,Apr 2019
19.4 kmpl,1198 cc,925 kg,Petrol,Manual,86.8 bhp,4.0,Jul 2015
17.4 kmpl,999 cc,,,Automatic,98.63 bhp,3.0,Sept 2023
20.3 kmpl,1086 cc,990 kg,Petrol,Manual,68.05 bhp,4.0,Jul 2019
,2393 cc,,Diesel,Manual,147.51 bhp,4.0,Nov 2018
19.6 kmpl,1497 cc,,Petrol,Automatic,113.18 bhp,4.0,Jul 2023
,1332 cc,1395 kg,Petrol,Automatic,160.92 bhp,4.0,2023
17.33 kmpl,1199 cc,,Petrol,Manual,118.35 bhp,3.0,Aug 2022
20 kmpl,1482 cc,,Petrol,Manual,157.57 bhp,4.0,Apr 2023
,2494 cc,1675 kg,Diesel,Manual,100.6 bhp,4.0,Mar 2016
21.74 kmpl,999 cc,730 kg,Petrol,Manual,67 bhp,3.0,Dec 2021
19.7 kmpl,796 cc,705 kg,Petrol,Manual,46.3 bhp,3.0,Apr 2013
17 kmpl,1497 cc,1100 kg,Petrol,Manual,,4.0,Feb 2011
,1493 cc,1430 kg,Diesel,Manual,113.98 bhp,4.0,Jun 2022
18.1 kmpl,1199 cc,985 kg,Petrol,Automatic,88.7 bhp,4.0,Jan 2018
16.42 kmpl,1498 cc,1315 kg,Petrol,Manual,104.55 bhp,4.0,Aug 2021
17 kmpl,1197 cc,1435 kg,,Manual,110 bhp,3.0,Apr 2019
18 kmpl,1497 cc,1065 kg,Petrol,Automatic,117.3 bhp,4.0,Oct 2014
17.4 kmpl,1497 cc,1063 kg,Petrol,Manual,117.60 bhp,4.0,Nov 2014
26.6 km/kg,998 cc,960 kg,CNG,Manual,58.16 bhp,3.0,May 2017
21.66 kmpl,1498 cc,1182 kg,Diesel,Automatic,103.52 bhp,4.0,Dec 2014
23.64 kmpl,1497 cc,1187 kg,Diesel,Manual,88.77 bhp,4.0,Jul 2021
14.6 kmpl,1956 cc,1675 kg,Diesel,Automatic,167.67 bhp,4.0,Mar 2022
18.31 kmpl,998 cc,,Petrol,Automatic,118 bhp,3.0,Dec 2021
26.49 km/kg,1199 cc,,CNG,Manual,74.46 bhp,3.0,May 2023
18.8 kmpl,1199 cc,1130 kg,Petrol,Automatic,86.63 bhp,3.0,Jul 2022
22 kmpl,1582 cc,1285 kg,Diesel,Automatic,126.2 bhp,4.0,Sept 2017
,1493 cc,kerb weight kg,Diesel,Automatic,113.43 bhp,4.0,Nov 2020
19.2 kmpl,998 cc,1260 kg,Petrol,Automatic,118.41 bhp,3.0,Apr 2022
14 kmpl,2755 cc,,Diesel,Manual,201.15 bhp,4.0,Jan 2024
17.33 kmpl,1199 cc,1230 kg,Petrol,Manual,118.35 bhp,3.0,Apr 2023
27.39 kmpl,1248 cc,960-985 kg,Diesel,Manual,74 bhp,4.0,Feb 2020
26.49 km/kg,1199 cc,,CNG,Manual,74.46 bhp,3.0,Feb 2018
23.84 kmpl,1199 cc,1012 kg,Petrol,Automatic,83.83 bhp,3.0,Jul 2020
20.28 kmpl,998 cc,1280 kg,Petrol,Automatic,118.36 bhp,3.0,Apr 2021
26.6 km/kg,998 cc,960 kg,CNG,Manual,58.16 bhp,3.0,Mar 2017
21.21 kmpl,1197 cc,855-885 kg,Petrol,Manual,81.80 bhp,4.0,Dec 2016
21.21 kmpl,1197 cc,855-885 kg,Petrol,Manual,81.80 bhp,4.0,Jul 2017
21.19 kmpl,1497 cc,1395 kg,Diesel,Manual,108.49 bhp,4.0,Aug 2023
18.31 kmpl,998 cc,,Petrol,Automatic,118 bhp,3.0,Apr 2022
18.31 kmpl,998 cc,,Petrol,Automatic,118 bhp,3.0,Feb 2021
17.03 kmpl,1462 cc,1110-1130 kg,Petrol,Manual,103.26 bhp,4.0,Aug 2021
17.01 kmpl,1582 cc,1320 kg,,Automatic,126.2 bhp,4.0,Mar 2017
18.31 kmpl,998 cc,,Petrol,Automatic,118 bhp,3.0,Jul 2021
20.51 kmpl,1462 cc,1150-1205 kg,Petrol,Manual,101.65 bhp,4.0,Nov 2023
27.1 km/kg,1197 cc,,CNG,Manual,67.72 bhp,4.0,May 2024
26.49 km/kg,1199 cc,,CNG,Manual,74.47 bhp,3.0,Jan 2026
17.5 kmpl,1373 cc,1175 kg,Petrol,Manual,91.1 bhp,4.0,Aug 2021
17.6 kmpl,1582 cc,1340 kg,Diesel,Automatic,126.2 bhp,4.0,Jul 2020
24.39 kmpl,998 cc,,Petrol,Manual,65.71 bhp,3.0,Feb 2024
10.91 kmpl,3198 cc,1879 kg,,Automatic,197 bhp,4.0,Jul 2018
19.01 kmpl,1462 cc,1135-1170 kg,Petrol,Manual,103.26 bhp,4.0,Dec 2020
17.5 kmpl,1373 cc,1180 kg,Petrol,Manual,91.1 bhp,4.0,Aug 2020
13 kmpl,1999 cc,,Petrol,Automatic,197 bhp,4.0,Jan 2023
18 kmpl,1493 cc,1565 kg,Diesel,Manual,113.45 bhp,4.0,Jun 2023
14 kmpl,2755 cc,,Diesel,Automatic,201.15 bhp,4.0,Mar 2023
18.15 kmpl,1198 cc,1175 kg,,Manual,82 bhp,3.0,Nov 2017
26.49 km/kg,1199 cc,1030 kg,CNG,Manual,72.40 bhp,3.0,Mar 2022
26.49 km/kg,1199 cc,,CNG,Manual,74.46 bhp,3.0,Mar 2022
26.49 km/kg,1199 cc,,CNG,Manual,74.46 bhp,3.0,Sept 2022
22.1 kmpl,1396 cc,1200 kg,Diesel,Manual,88.7 bhp,4.0,Feb 2019
,1968 cc,1830 kg,Diesel,Automatic,174.3 bhp,4.0,Apr 2014
,2993 cc,1890 kg,Diesel,Automatic,261.50 bhp,6.0,Nov 2020
,,,,Automatic,73.75 bhp,,May 2023
22.38 kmpl,1197 cc,875-905 kg,Petrol,Manual,88.50 bhp,4.0,Aug 2016
20.92 kmpl,998 cc,760 kg,Petrol,Manual,67.1 bhp,3.0,Nov 2010
17.3 kmpl,1497 cc,1650 s kg,Diesel,Manual,121 bhp,4.0,Apr 2019
17.5 kmpl,1373 cc,1175 kg,Petrol,Manual,91.1 bhp,4.0,Jul 2016
17.29 kmpl,1493 cc,,,Manual,98.56 bhp,3.0,Oct 2022
22.38 kmpl,1197 cc,875-905 kg,Petrol,Manual,88.50 bhp,4.0,Dec 2021
9 kmpl,2184 cc,,,Automatic,130.07 bhp,4.0,May 2022
9 kmpl,2184 cc,1755 kg,,Automatic,130 bhp,4.0,Nov 2022
24.8 kmpl,1197 cc,920 kg,Petrol,Manual,80.46 bhp,3.0,Jun 2013
23.9 kmpl,1582 cc,1270 kg,Diesel,Manual,126.2 bhp,4.0,Apr 2013
26.08 km/kg,1462 cc,1235 kg,CNG,Manual,91.19 bhp,4.0,Aug 2021
12.55 kmpl,2982 cc,1880 kg,,Automatic,168.5 bhp,4.0,Oct 2015
12.55 kmpl,2982 cc,1880 kg,,Automatic,168.5 bhp,4.0,Apr 2015
26.08 km/kg,1462 cc,1235 kg,CNG,Manual,91.19 bhp,4.0,Dec 2021
24.04 kmpl,999 cc,730 kg,Petrol,Automatic,67 bhp,3.0,Mar 2018
17.05 kmpl,1995 cc,1550 kg,,Automatic,188 bhp,4.0,Aug 2015
,1995 cc,1590 kg,Diesel,Automatic,188 bhp,4.0,Jan 2018
18.49 kmpl,1493 cc,1755 kg,,Manual,100 bhp,3.0,2016
22.05 kmpl,796 cc,755 kg,Petrol,Manual,47.33 bhp,3.0,2019
18.6 kmpl,1197 cc,1066 kg,Petrol,Manual,81.83 bhp,4.0,2015
25.4 kmpl,1186 cc,1080 kg,Diesel,Manual,73.97 bhp,3.0,2019
23.84 kmpl,1199 cc,1012 kg,Petrol,Manual,84 bhp,3.0,2018
22.54 kmpl,1396 cc,1515 kg,Diesel,Manual,88.73 bhp,4.0,2017
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,2013
16.25 kmpl,1198 cc,1070 kg,Petrol,Manual,73.9 bhp,3.0,2011
22.5 kmpl,999 cc,750 kg,Petrol,Manual,67 bhp,3.0,2017
18 kmpl,1198 cc,950 kg,Petrol,Manual,86.7 bhp,4.0,2015
19.1 kmpl,1197 cc,970 kg,Petrol,Manual,85.8 bhp,4.0,2013
19.1 kmpl,1197 cc,970 kg,Petrol,Manual,85.8 bhp,4.0,2014
25.83 kmpl,1498 cc,1040-1130 kg,Diesel,Manual,99 bhp,4.0,2016
,1086 cc,854 kg,Petrol,Manual,62 bhp,4.0,2011
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,2014
20.36 kmpl,1197 cc,930 kg,Petrol,Manual,78.9 bhp,4.0,2014
20.36 kmpl,1197 cc,1100 kg,Petrol,Manual,78.9 bhp,4.0,2015
20.65 kmpl,1248 cc,1155 kg,Diesel,Manual,88.7 bhp,4.0,2015
20.36 kmpl,1197 cc,930 kg,Petrol,Manual,78.9 bhp,4.0,2012
20.36 kmpl,1197 cc,930 kg,Petrol,Manual,78.9 bhp,4.0,2013
18.9 kmpl,1197 cc,1060 kg,Petrol,Manual,81.86 bhp,4.0,2017
20.09 kmpl,1199 cc,1100 kg,Petrol,Manual,84.82 bhp,3.0,2020
25.4 kmpl,1186 cc,1100 kg,Diesel,Manual,73.97 bhp,3.0,2017
23.84 kmpl,1199 cc,980 kg,Petrol,Manual,84 bhp,3.0,2017
17.4 kmpl,1497 cc,1042 kg,Petrol,Manual,117.3 bhp,4.0,2015
22.54 kmpl,1396 cc,1160 kg,Diesel,Manual,88.76 bhp,4.0,2019
17.4 kmpl,1497 cc,1063 kg,Petrol,Manual,117.6 bhp,4.0,2018
18.5 kmpl,1197 cc,1040 kg,Petrol,Manual,82.85 bhp,4.0,2014
19.5 kmpl,1199 cc,917 kg,Petrol,Manual,88.76 bhp,4.0,2019
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,2016
19.1 kmpl,1197 cc,1160 kg,Petrol,Manual,82 bhp,4.0,2014
18 kmpl,1497 cc,1100 kg,Petrol,Automatic,117.6 bhp,4.0,2019
18.6 kmpl,1199 cc,907-934 kg,Petrol,Manual,88.50 bhp,4.0,2022
15.8 kmpl,1591 cc,1260 kg,Petrol,Manual,121.3 bhp,4.0,2018
14 kmpl,1956 cc,,Diesel,Manual,167.62 bhp,4.0,2023
17.88 kmpl,1498 cc,1312 kg,,Automatic,147.51 bhp,4.0,2024
17.1 kmpl,1956 cc,1551 s kg,,Manual,170.63 bhp,4.0,2018
17.7 kmpl,1497 cc,,Petrol,Automatic,113.42 bhp,4.0,2023
21.12 kmpl,1462 cc,1145-1290 kg,Petrol,Manual,101.64 bhp,4.0,2023
12.65 kmpl,1984 cc,1703 kg,Petrol,Automatic,187.74 bhp,4.0,2023
20.92 kmpl,998 cc,760 kg,Petrol,Manual,67.1 bhp,3.0,2014
23.59 kmpl,1364 cc,920 kg,Diesel,Manual,,4.0,2012
19.83 kmpl,1198 cc,882 kg,Petrol,Manual,67 bhp,3.0,2019
25.8 kmpl,1498 cc,1065 kg,Diesel,Manual,98.6 bhp,4.0,2017
20.51 kmpl,998 cc,885 kg,Petrol,Manual,67.04 bhp,3.0,2017
23.84 kmpl,1199 cc,1012 kg,Petrol,Manual,84 bhp,3.0,2017
18.9 kmpl,998 cc,870 kg,Petrol,Manual,67.1 bhp,3.0,2012
20.51 kmpl,998 cc,885 kg,Petrol,Manual,67.04 bhp,3.0,2014
18.9 kmpl,998 cc,885 kg,Petrol,Manual,67.1 bhp,3.0,2012
17.57 kmpl,1193 cc,1115 kg,Petrol,Manual,88.7 bhp,4.0,2018
23.01 kmpl,999 cc,730 kg,Petrol,Manual,67 bhp,3.0,2018
20.51 kmpl,998 cc,870 kg,Petrol,Manual,67.04 bhp,3.0,2013
18.9 kmpl,998 cc,885 kg,Petrol,Manual,67.1 bhp,3.0,2011
23.08 kmpl,1461 cc,1008 kg,Diesel,Manual,63.1 bhp,4.0,2011
23.1 kmpl,998 cc,835 kg,Petrol,Manual,67.04 bhp,3.0,2014
21.1 kmpl,814 cc,860 kg,Petrol,Manual,55.2 bhp,3.0,2012
24.4 kmpl,1120 cc,1100 kg,Diesel,Manual,71 bhp,3.0,2014
23.4 kmpl,1248 cc,1080 kg,Diesel,Manual,74 bhp,4.0,2013
14.53 kmpl,1798 cc,1340 kg,Petrol,Manual,138.1 bhp,4.0,2009
20.51 kmpl,998 cc,885 kg,Petrol,Manual,67.04 bhp,3.0,2016
20.36 kmpl,1197 cc,930 kg,Petrol,Manual,78.9 bhp,4.0,2008
18.06 kmpl,1198 cc,940 kg,Petrol,Manual,75 bhp,3.0,2012
15.29 kmpl,1591 cc,"1,300 kg",,Manual,121.3 bhp,4.0,2017
17.6 kmpl,1496 cc,920 kg,Petrol,Manual,88.73 bhp,4.0,2011
27.39 kmpl,1248 cc,985 kg,Diesel,Manual,74 bhp,4.0,2016
19.95 kmpl,1248 cc,945 kg,Diesel,Manual,74.02 bhp,4.0,2018
17.8 kmpl,1198 cc,955 kg,Petrol,Manual,86.7 bhp,4.0,2016
26.59 kmpl,1248 cc,1045 kg,Diesel,Manual,74 bhp,4.0,2017
19.5 kmpl,1199 cc,921 kg,Petrol,Manual,88.76 bhp,4.0,2019
20.14 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,2018
20.85 kmpl,1197 cc,945 kg,Petrol,Manual,83.14 bhp,4.0,2016
22.54 kmpl,1396 cc,1515 kg,Diesel,Manual,88.73 bhp,4.0,2016
21.4 kmpl,1197 cc,880 kg,Petrol,Manual,83.1 bhp,4.0,2017
17.01 kmpl,1591 cc,,Petrol,Manual,121.3 bhp,4.0,2017
26.59 kmpl,1248 cc,1055 kg,Diesel,Manual,74 bhp,4.0,2016
20.89 kmpl,1197 cc,835 kg,Petrol,Manual,81.80 bhp,4.0,2017
21.9 kmpl,1396 cc,1120 kg,Diesel,Manual,88.76 bhp,4.0,2013
20.51 kmpl,998 cc,895 kg,Petrol,Automatic,67 bhp,3.0,2019
26 kmpl,1498 cc,1125 kg,Diesel,Manual,98.6 bhp,4.0,2016
17.1 kmpl,1956 cc,1551 s kg,,Manual,170 bhp,4.0,2019
19 kmpl,999 cc,1160-1216 kg,Petrol,Manual,113.98 bhp,3.0,2023
19.28 kmpl,1199 cc,1030 kg,Petrol,Manual,84.82 bhp,3.0,2022
12.34 kmpl,1451 cc,,Petrol,Automatic,141.04 bhp,4.0,2024
11.67 kmpl,1451 cc,1820 kg,Petrol,Automatic,141 bhp,4.0,2020
19.4 kmpl,1198 cc,925 kg,Petrol,Manual,86.8 bhp,4.0,2013
17.8 kmpl,1496 cc,1135 kg,Petrol,Automatic,105.5 bhp,4.0,2018
25.1 kmpl,1248 cc,1230 kg,,Manual,88.5 bhp,4.0,2018
11 kmpl,2694 cc,,Petrol,Manual,163.60 bhp,4.0,Jan 2023
15.1 kmpl,1984 cc,1579 kg,Petrol,Automatic,187.74 bhp,4.0,Jan 2021
16.8 kmpl,1353 cc,1485 kg,Petrol,Manual,113.43 bhp,4.0,Jan 2021
20.58 kmpl,1462 cc,1185 - 1210 kg,Petrol,Automatic,101.64 bhp,4.0,Dec 2022
21.11 kmpl,1462 cc,1140-1185 kg,,Manual,101.64 bhp,4.0,May 2023
16.3 kmpl,1956 cc,,Diesel,Manual,167.62 bhp,4.0,2023
18.19 kmpl,1197 cc,1179 kg,Petrol,Automatic,103.2 bhp,4.0,Aug 2018
20 kmpl,999 cc,,Petrol,Manual,71.01 bhp,3.0,May 2022
16.5 kmpl,1493 cc,1450 kg,,Manual,70 bhp,3.0,Jun 2019
19.71 kmpl,1197 cc,935 kg,Petrol,Manual,79.65 bhp,4.0,2024
18.2 kmpl,998 cc,1201 kg,Petrol,Manual,118.36 bhp,3.0,2020
13.49 kmpl,2956 cc,1900 kg,Diesel,Manual,138.03 bhp,4.0,2017
16.65 kmpl,1956 cc,1860 kg,Diesel,Manual,167.67 bhp,4.0,2022
20.51 kmpl,1462 cc,1150-1205 kg,Petrol,Manual,101.64 bhp,4.0,2025
17.4 kmpl,1497 cc,1063 kg,Petrol,Manual,117.60 bhp,4.0,Mar 2015
18.6 kmpl,1197 cc,1066 kg,Petrol,Manual,81.83 bhp,4.0,Apr 2016
23.84 kmpl,1199 cc,1012 kg,Petrol,Manual,84 bhp,3.0,Apr 2018
17.41 kmpl,1956 cc,1860 kg,,Manual,167.68 bhp,4.0,Nov 2020
28.09 kmpl,1248 cc,1105 kg,Diesel,Automatic,88.50 bhp,4.0,Apr 2018
23.01 kmpl,999 cc,730 kg,Petrol,Manual,67 bhp,3.0,Nov 2019
23.84 kmpl,1199 cc,1012 kg,Petrol,Manual,84 bhp,3.0,Oct 2019
17 kmpl,1497 cc,,Petrol,Manual,113.42 bhp,4.0,2023
23.84 kmpl,1199 cc,1012 kg,Petrol,Manual,84 bhp,3.0,Feb 2019
17 kmpl,1497 cc,1242 kg,,Manual,121.31 bhp,3.0,Jun 2018
,2996 cc,2240 kg,Petrol,Automatic,384.87 bhp,6.0,Jan 2017
18.9 kmpl,1197 cc,1200 kg,Petrol,Automatic,81.86 bhp,4.0,Jan 2014
23.84 kmpl,1199 cc,940 kg,Petrol,Manual,84 bhp,3.0,Nov 2019
,1950 cc,1735 kg,Diesel,Automatic,191.76 bhp,4.0,Jan 2024
20.8 kmpl,1493 cc,1475 kg,Diesel,Manual,113.43 bhp,4.0,Nov 2020
16.8 kmpl,1497 cc,1404 kg,Petrol,Manual,113.43 bhp,4.0,Aug 2022
19.2 kmpl,999 cc,1195-1255 kg,,Manual,113.98 bhp,3.0,Jun 2022
17.2 kmpl,1969 cc,2350 kg,,Automatic,235 bhp,4.0,Mar 2017
,1086 cc,854 kg,Petrol,Manual,62 bhp,4.0,2013
,2987 cc,2455 kg,Diesel,Automatic,258 bhp,6.0,2020
16.8 kmpl,1497 cc,1355 kg,Petrol,Automatic,113.4 bhp,4.0,2021
14.9 kmpl,1956 cc,1705 kg,Diesel,Automatic,167.67 bhp,4.0,2021
,2755 cc,1880 kg,Diesel,Automatic,171.5 bhp,4.0,2016
16.8 kmpl,1353 cc,1485 kg,Petrol,Manual,113.43 bhp,4.0,Dec 2019
17 kmpl,1956 cc,1695 kg,Diesel,Manual,167.63 bhp,4.0,Nov 2020
,2499 cc,1785 kg,Petrol,Automatic,194.3 bhp,4.0,Jul 2019
16 kmpl,1368 cc,1562 s kg,,Automatic,160 bhp,4.0,Nov 2017
,1353 cc,,Petrol,Manual,138.05 bhp,4.0,Jun 2022
17.95 kmpl,1498 cc,1298 kg,,Manual,147.51 bhp,4.0,Jun 2021
17.2 kmpl,1969 cc,2250 kg,,Automatic,235 bhp,4.0,Oct 2018
16.35 kmpl,1956 cc,1725 kg,Diesel,Manual,167.67 bhp,4.0,Jun 2021
18.6 kmpl,1498 cc,1269-1300 kg,,Manual,147.51 bhp,4.0,Dec 2023
,1493 cc,,Diesel,Manual,114.41 bhp,4.0,Mar 2022
,1950 cc,1745 kg,Diesel,Automatic,194 bhp,4.0,Mar 2022
16.8 kmpl,1497 cc,1555 kg,Petrol,Automatic,113.42 bhp,4.0,Jun 2019
16 kmpl,1368 cc,1562 s kg,,Automatic,160 bhp,4.0,Apr 2018
16.8 kmpl,1497 cc,1404 kg,Petrol,Manual,113.43 bhp,4.0,Dec 2020
18.43 kmpl,1462 cc,1130-1170 kg,Petrol,Automatic,103.25 bhp,4.0,Jul 2021
20.08 kmpl,999 cc,1220 kg,Petrol,Manual,113.98 bhp,3.0,Jan 2022
15.1 kmpl,1798 cc,1376 kg,Petrol,Automatic,178 bhp,4.0,Mar 2018
16.82 kmpl,1197 cc,1450 kg,Petrol,Manual,108.62 bhp,3.0,Jul 2020
21.7 kmpl,1498 cc,1277 kg,Diesel,Manual,99.23 bhp,4.0,Jul 2021
15.43 kmpl,1498 cc,1450 kg,Petrol,Manual,108.49 bhp,4.0,Jun 2022
,2487 cc,,Petrol,Automatic,175.67 bhp,4.0,Mar 2024
23 kmpl,1498 cc,1300 kg,,Manual,98.96 bhp,4.0,Jun 2019
17 kmpl,1197 cc,1295 kg,,Manual,110 bhp,3.0,Jun 2019
16.82 kmpl,1197 cc,1430 kg,Petrol,Manual,108.62 bhp,3.0,Jun 2019
,1995 cc,2097 kg,Petrol,Automatic,268.27 bhp,4.0,Jun 2024
16.1 kmpl,1353 cc,1445 kg,Petrol,Manual,138 bhp,4.0,Jun 2020
18.4 kmpl,1493 cc,1215 kg,Diesel,Manual,98.63 bhp,4.0,Jan 2021
17.1 kmpl,1199 cc,1042 kg,Petrol,Manual,88.50 bhp,4.0,Nov 2015
16.8 kmpl,1497 cc,1404 kg,Petrol,Manual,113.43 bhp,4.0,Nov 2021
16.5 kmpl,1353 cc,1515 kg,Petrol,Manual,138.08 bhp,4.0,Jun 2022
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Dec 2022
16.5 kmpl,1353 cc,1515 kg,Petrol,Manual,138.08 bhp,4.0,Sept 2020
18.9 kmpl,1197 cc,1060 kg,Petrol,Manual,81.86 bhp,4.0,Apr 2014
20.52 kmpl,1197 cc,830-845 kg,Petrol,Manual,81.80 bhp,4.0,Oct 2016
24 kmpl,1199 cc,1017 kg,Petrol,Manual,83.81 bhp,3.0,Apr 2019
,2993 cc,1890 kg,Diesel,Automatic,261.50 bhp,6.0,Jun 2021
16.5 kmpl,1353 cc,1515 kg,Petrol,Manual,138.08 bhp,4.0,Dec 2019
20.8 kmpl,1493 cc,1535 kg,Diesel,Manual,113.43 bhp,4.0,Mar 2020
18.6 kmpl,1498 cc,1107-1153 kg,Petrol,Manual,119.35 bhp,4.0,Nov 2021
18 kmpl,1482 cc,,Petrol,Manual,158 bhp,4.0,May 2024
,1493 cc,1540 kg,Diesel,Manual,113.42 bhp,4.0,Apr 2022
18.41 kmpl,999 cc,1285 kg,Petrol,Automatic,113.98 bhp,3.0,Dec 2021
21.7 kmpl,1498 cc,1277 kg,Diesel,Manual,99.23 bhp,4.0,Mar 2021
17.1 kmpl,1956 cc,1537 s kg,,Manual,170 bhp,4.0,Dec 2019
,1999 cc,1780 kg,Petrol,Automatic,237.4 bhp,4.0,Jun 2015
17.2 kmpl,999 cc,1245-1280 kg,,Automatic,113.98 bhp,3.0,Jun 2022
16.5 kmpl,1353 cc,1515 kg,Petrol,Manual,138.08 bhp,4.0,Jul 2020
19.89 kmpl,1462 cc,,,Manual,101.64 bhp,4.0,Feb 2024
17.95 kmpl,1498 cc,1298 kg,,Manual,147.51 bhp,4.0,2022
17.1 kmpl,1956 cc,1562 s kg,,Manual,170 bhp,4.0,Feb 2020
14.82 kmpl,1498 cc,1400 kg,Petrol,Automatic,108.49 bhp,4.0,Jun 2022
9 kmpl,1451 cc,1820 kg,,Automatic,141 bhp,4.0,2022
17.33 kmpl,1199 cc,,Petrol,Manual,118.35 bhp,3.0,Jan 2024
18.41 kmpl,999 cc,1285 kg,Petrol,Automatic,113.98 bhp,3.0,Jun 2022
18.2 kmpl,998 cc,,Petrol,Automatic,118.35 bhp,3.0,Jun 2023
,2179 cc,1780 kg,Diesel,Automatic,187.7 bhp,4.0,2016
18.09 kmpl,999 cc,1245-1284 kg,Petrol,Automatic,113.98 bhp,3.0,Jun 2024
18.12 kmpl,999 cc,1245 kg,Petrol,Automatic,113.98 bhp,3.0,Jun 2022
16.35 kmpl,1199 cc,1250 kg,Petrol,Automatic,118.36 bhp,3.0,Aug 2022
,2487 cc,,Petrol,Automatic,175.67 bhp,4.0,Jul 2024
