Registration Year,Insurance,Fuel Type,Seats,Kms Driven,Ownership,Mileage,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Transmission Type,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Price,Top Speed,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Port,Volume,Drive Type_4WD,Drive Type_AWD,Drive Type_FWD,Drive Type_RWD,Gross Weight
2024.0,0,Electric,5.0,17300,1,18.9,536.4,6000.0,745.0,4000.0,1,0,0,3,2,1,2,188.0,2900.0,358000.0,239,101.7,50.0,0.0,0,0,1,18245559168.0,0,1,0,0,165
2023.0,0,Electric,5.0,19000,1,30.61,536.4,6000.0,745.0,4000.0,1,0,0,3,2,1,2,165.0,2900.0,354000.0,239,101.7,50.0,0.0,0,0,1,18245559168.0,0,1,0,0,165
2025.0,3,Electric,5.0,5300,1,14.82,282.0,6000.0,380.0,4000.0,1,0,1,3,2,0,1,207.0,2775.0,755000.0,165,79.0,1220.0,480.0,1,1,1,15470663362.0,0,0,0,1,165
2025.0,3,Electric,5.0,5300,1,14.53,282.0,6000.0,380.0,4000.0,1,0,1,3,2,0,1,207.0,2775.0,5975000.0,165,79.0,1220.0,480.0,1,1,1,15470663362.0,0,0,0,1,165
2024.0,0,Electric,5.0,17300,1,16.95,536.4,6000.0,745.0,4000.0,1,0,0,3,2,1,2,170.0,2900.0,260000.0,239,101.7,50.0,0.0,0,0,1,18245559168.0,0,1,0,0,165
2021.0,2,Electric,5.0,10584,2,16.11,127.0,6000.0,245.0,4000.0,1,0,0,3,1,0,0,205.0,2498.0,750000.0,165,30.2,60.0,549.6,1,0,1,11613504738.0,0,0,1,0,165
2022.0,0,Electric,5.0,50838,1,20.85,141.04,6000.0,250.0,4000.0,1,0,0,3,0,0,1,190.0,2498.0,390000.0,165,40.5,56.0,900.0,1,1,1,11685817968.0,0,0,1,0,165
2022.0,0,Electric,5.0,50838,1,17.4,141.04,6000.0,250.0,4000.0,1,0,0,3,0,0,1,190.0,2498.0,1450000.0,165,40.5,56.0,900.0,1,1,1,11685817968.0,0,0,1,0,165
2024.0,2,Electric,5.0,1800,1,16.11,201.0,6000.0,310.0,4000.0,1,0,2,3,0,1,1,175.0,2720.0,300000.0,165,60.48,50.0,570.0,1,1,1,13490296875.0,0,0,1,0,2160
2024.0,2,Electric,5.0,1800,1,19.81,201.0,6000.0,310.0,4000.0,1,0,2,3,0,1,1,175.0,2720.0,405000.0,165,60.48,50.0,570.0,1,1,1,13490296875.0,0,0,1,0,2160
2023.0,0,Electric,5.0,19900,1,16.8,320.55,6000.0,605.0,4000.0,1,0,1,3,2,0,1,165.0,2900.0,650000.0,192,84.0,73.0,0.0,1,1,1,13931473500.0,0,1,0,0,165
2023.0,0,Electric,5.0,19900,1,18.0,320.55,6000.0,605.0,4000.0,1,0,1,3,2,0,1,165.0,2900.0,369000.0,192,84.0,73.0,0.0,1,1,1,13931473500.0,0,1,0,0,165
2023.0,0,Electric,5.0,13527,1,18.9,73.75,6000.0,170.0,4000.0,1,0,0,3,1,0,0,160.0,2450.0,210000.0,165,26.0,3599.0,564.0,1,1,1,10258671852.0,0,0,1,0,165
2023.0,0,Electric,5.0,13527,1,20.89,73.75,6000.0,170.0,4000.0,1,0,0,3,1,0,0,170.0,2450.0,1250000.0,165,26.0,3599.0,564.0,1,1,1,10258671852.0,0,0,1,0,165
