url,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Ground Clearance,Power,Seating Capacity,Drive Type,Mileage,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Length,Width,Height,Ground Clearance (Laden),Ground Clearance Unladen,Wheel Base,Kerb Weight,Gross Weight,No. of Doors,Price,Fuel,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Alloy Wheel Size Front,Alloy Wheel Size Rear,Boot Space,Reported Ground Clearance (Unladen),Top Speed,Reported Boot Space,Global NCAP Safety Rating,Petrol Highway Mileage,Front Tread,Rear Tread,Valve Configuration,Super Charge,Shock Absorbers Type,Turning Radius,No. of Airbags,Acceleration,0-100kmph,Steering Gear Type,Range,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Time (A.C),Charging Time (D.C),Charging Port,Acceleration 0-100kmph,Braking (100-0kmph),0-100Kmph (Tested),City driveability (20-80kmph),Braking (80-0 kmph),Diesel Highway Mileage,Secondary Fuel Type,Quarter Mile,Braking (60-0 kmph),"<a href=""/car-faqs/mg-zs-ev/what-is-the-battery-capacity-of-mg-zs-ev-203.html"" class=""bluelink"" title=""Battery Capacity"">Battery Capacity</a>",Motor Power,Battery Warranty,Regenerative Braking,Regenerative Braking Levels,Charging Options,Charger Type,Charging Time (15 A Plug Point),Charging Time (7.2 kW AC Fast Charger),Charging Time (50 kW DC Fast Charger),Charging Time,Fast Charging,Boot Space Rear Seat Folding,Wireless Charging,Approach Angle,Break-over Angle,Departure Angle,CNG Mileage ARAI,CNG Fuel Tank Capacity,Drag Coefficient,Quarter Mile (Tested),3rd Gear (30-80kmph),4th Gear (40-100kmph),Emission Control System,Acceleration 0-60kmph,Petrol Mileage (ARAI),Petrol Fuel Tank Capacity (Litres),Petrol City Mileage,CNG Highway Mileage
https://www.cardekho.com/buy-used-car-details/used-Maruti-baleno-delta-diesel-cars-Thane_0cfe7278-d37d-4a76-aaa4-19e2443677eb.htm,Aug 2017,Comprehensive,Diesel,5 Seats,"16,370 Kms",Thane,First Owner,1248 cc,Manual,2017,1248 cc,,74 bhp,5.0,FWD,27.39 kmpl,DDiS Diesel Engine,1248 cc,74bhp@4000rpm,190Nm@2000rpm,4.0,4.0,CRDi,Yes,Manual,5 Speed,,,BS IV,MacPherson Strut,Torsion Beam,Power,Tilt,Disc,Drum,3995 mm,1745 mm,1510 mm,,170 mm,2520 mm,960-985 kg,1430 kg,5.0,₹5.94 Lakh,Diesel,27.39 kmpl,37 Litres,,,,,170  kmph,,,,1515 mm,1525 mm,DOHC,No,,4.9 metres,2.0,12.93 seconds,12.93 seconds,Rack & Pinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Hyundai-verna-16-sx-vtvt-cars-Thane_f6ebfb65-2a39-4391-b737-362921cdb35b.htm,Apr 2016,Third Party,Petrol,5 Seats,"39,221 Kms",Thane,First Owner,1591 cc,Manual,2016,1591 cc,,121.3 bhp,5.0,FWD,17.01 kmpl,VTVT Petrol Engine,1591 cc,121.3bhp@6300rpm,154.9Nm@4200rpm,4.0,4.0,MPFI,No,Manual,5 Speed,17.01 kmpl,43 Litres,BS IV,MacPherson Strut,Coupled Torsion Beam,Power,Tilt,Disc,Drum,4375 mm,1700 mm,1475 mm,,165 mm,2570 mm,1290 kg,,4.0,₹3.61 Lakh,Petrol,,,,,,,196  kmph,,,,,,DOHC,No,Gas Filled,5.2 meters,,10.5 Seconds,10.5 Seconds,Rack & Pinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Maruti-ciaz-alpha-bsiv-cars-Mumbai_e1575969-e8c1-4c60-a7a7-a87097c6e1ec.htm,Oct 2018,-,Petrol,5 Seats,"44,901 Kms",Mumbai,First Owner,1462 cc,Manual,2018,1462 cc,,103.25 bhp,5.0,FWD,21.56 kmpl,k15B VVT Engine,1462 cc,103.25bhp@6000rpm,138Nm@4400rpm,4.0,4.0,MPFI,No,Manual,5 Speed,21.56 kmpl,43 Litres,BS IV,MacPherson Strut,Torsion Beam,Power,Tilt,Ventilated Disc,Drum,4490 mm,1730 mm,1485 mm,,170 mm,2650 mm,1065 kg,1520 kg,4.0,₹4.71 Lakh,Petrol,,,,,,,,,,,,,DOHC,No,,5.4 metres,2.0,,,Rack & Pinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Maruti-wagon-r-vxi-bs-iv-cars-Mumbai_18ef35ae-65dc-4c1c-8d2a-4a37f800a4f7.htm,Aug 2016,Third Party,Petrol,5 Seats,"79,584 Kms",kalyan,Second Owner,998 cc,Manual,2016,998 cc,,67.04 bhp,5.0,FWD,20.51 kmpl,K10B Petrol Engine,998 cc,67.04bhp@6200rpm,90Nm@3500rpm,3.0,4.0,,No,Manual,5 Speed,20.51 kmpl,35 Litres,BS IV,MacPherson Strut,Isolated Trailing Link,Power,Tilt & Collapsible,Ventilated Disc,Drum,3599 mm,1495 mm,1700 mm,,165 mm,2400 mm,885 kg,1350 kg,5.0,₹3.79 Lakh,Petrol,,,,,,,152  kmph,,,,1295 mm,1290 mm,DOHC,No,Coil Spring,4.6 metres,,18.6 Seconds,18.6 Seconds,Rack & Pinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Jaguar-xe-prestige-cars-Mumbai_5b9654e5-eaaf-4774-ba6b-2bba71cf9909.htm,Mar 2017,Comprehensive,Petrol,5 Seats,"65,834 Kms",Thane,Second Owner,1999 cc,Automatic,2016,1999 cc,,197.13 bhp,5.0,RWD,,Petrol Engine,1999 cc,197.13bhp@4500-6000rpm,320Nm@1200-4500rpm,4.0,4.0,,Yes,Automatic,8 Speed,13.6 kmpl,68 Litres,BS IV,Double Wishbone,Independent Integral Link,Power,Adjustable,Disc,Disc,4795 mm,2075 mm,1416 mm,,,2835 mm,1612 kg,2150 kg,4.0,₹5.48 Lakh,Petrol,,,,,,,230  kmph,,,,,,DOHC,No,,,,7.7 Seconds,7.7 Seconds,Rack & Pinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Honda-city-i-vtec-vx-option-cars-Thane_3d4b7e21-a840-4037-8e67-2a48907c167a.htm,May 2016,Third Party,Petrol,5 Seats,"73,026 Kms",panvel,First Owner,1497 cc,Manual,2016,1497 cc,,117.3 bhp,5.0,FWD,17.8 kmpl,i VTEC Engine,1497 cc,117.3bhp@6600rpm,145Nm@4600rpm,4.0,4.0,PGM-Fi,No,Manual,5 Speed,17.8 kmpl,40 Litres,BS IV,MacPherson Strut,Torsion Beam,Power,Tilt & Collapsible,Disc,Drum,4440 mm,1695 mm,1495 mm,,165 mm,2600 mm,1065 kg,,4.0,₹2.43 Lakh,Petrol,,,,,,,195  kmph,,,,1480 mm,1465 mm,SOHC,No,,5.3 meters,,10 Seconds,10 Seconds,Rack & Pinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Tata-tiago-xz-plus-cars-Mumbai_d77c76da-228f-468c-8370-ae8eb1056a87.htm,Oct 2020,Comprehensive,Petrol,5 Seats,"17,752 Kms",kalyan,First Owner,1199 cc,Manual,2020,1199 cc,,83.83 bhp,5.0,FWD,23.84 kmpl,Revotron Engine,1199 cc,83.83bhp@6000rpm,114Nm@3500rpm,3.0,4.0,MPFi,No,Manual,5 Speed,23.84 kmpl,35 Litres,BS IV,MacPherson Strut,Twist Beam,Power,Tilt,Disc,Drum,3746 mm,1647 mm,1535 mm,,170 mm,2400 mm,1012 kg,,5.0,₹16.66 Lakh,Petrol,,,,,,,150  kmph,,,21.68 kmpl,1400 mm,1420 mm,DOHC,No,,4.9 meters,2.0,,,Rack & Pinion,,,,,,,,,,,,,,,,,21.16 Seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Tata-tiago-12-revotron-xt-cars-Mumbai_bc1e3a5e-df75-4c42-a06e-4db6fc1b89f5.htm,Oct 2021,Comprehensive,Petrol,5 Seats,"36,072 Kms",Mumbai,First Owner,1199 cc,Manual,2021,1199 cc,,84 bhp,5.0,FWD,23.84 kmpl,Revotron Engine,1199 cc,84bhp@6000rpm,114Nm@3500rpm,3.0,4.0,MPFi,No,Manual,5 Speed,23.84 kmpl,35 Litres,BS IV,MacPherson Strut,Twist Beam,Power,Tilt,Disc,Drum,3746 mm,1647 mm,1535 mm,,170 mm,2400 mm,980 kg,,5.0,₹4.55 Lakh,Petrol,,,,,,,150  kmph,,,21.68 kmpl,1400 mm,1420 mm,DOHC,No,,4.9 meters,,14.3 Seconds,14.3 Seconds,Rack & Pinion,,,,,,,,,,,43.94m,,,,,,21.16 Seconds,27.73m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Honda-amaze-vx-cvt-petrol-cars-Mumbai_5d3c1ca7-2ead-45c0-966d-5330523fa32f.htm,Jan 2022,Comprehensive,Petrol,5 Seats,"22,327 Kms",Thane,First Owner,1199 cc,Automatic,2022,1199 cc,,88.76 bhp,5.0,FWD,18.3 kmpl,i-VTEC Petrol Engine,1199 cc,88.76bhp@6000rpm,110Nm@4800rpm,4.0,4.0,MPFi,No,Automatic,CVT,18.3 kmpl,35 Litres,BS VI,McPherson Strut Coil Spring,Torsion Beam Coil Spring,Electric,Tilt & Collapsible,Disc,Drum,3995 mm,1695 mm,1501 mm,,,2470 mm,945 kg,,4.0,₹5.18 Lakh,Petrol,,,,,,,,,,,,,SOHC,No,Coil Springs,4.7 metres,2.0,15 Seconds,15 Seconds,Rack & Pinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Honda-city-zx-cvt-cars-Mumbai_e6e9a40c-5c6d-4807-9232-57bd0d0248b1.htm,Apr 2019,Comprehensive,Petrol,5 Seats,"48,898 Kms",Mumbai,Second Owner,1498 cc,Automatic,2019,1498 cc,,119.35 bhp,5.0,FWD,18.4 kmpl,i-VTEC,1498 cc,119.35bhp@6600rpm,145Nm@4300rpm,4.0,4.0,,,Automatic,CVT,18.4 kmpl,,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt & Telescopic,Ventilated Disc,Drum,4583 mm,1748 mm,1489 mm,,,2600 mm,1153 kg,1528 kg,4.0,₹4.50 Lakh,Petrol,,,R16 Inch,,506 Litres,,,,,,1531 mm,,,,Telescopic Hydraulic Nitrogen Gas-filled,5.3 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
