Registration Year,Insurance,Fuel,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Power,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,No. of Cylinders,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Length,Width,Height,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Top Speed,Super Charge,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Port
2022.0,Comprehensive,Petrol,5.0,500 - 27000,1,796 - 1197,Manual,34 - 72,FWD,18 - 21,Standard,34 - 73,6000 - 7900,11 - 101,2800 - 3500,3.0,4.0,MPFi,Yes,Manual,5.0,18 - 20,35 - 40,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3746 - 3995,1710 - 1780,1530 - 1640,178 - 307,2456 - 2550,Unknown,552000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2023.0,Comprehensive,Petrol,5.0,27000 - 42143,1,1199 - 1497,Automatic,72 - 78,2WD,17 - 18,Standard,101 - 121,6000 - 7900,113 - 146,4000 - 4500,4.0,4.0,MPFi,No,Automatic,6.0,17 - 18,43 - 93,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,3995 - 4420,1780 - 2230,1640 - 1995,163 - 165,2550 - 2650,Unknown,1425000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2022.0,Comprehensive,Petrol,5.0,500 - 27000,1,796 - 1197,Automatic,85 - 108,FWD,17 - 18,Turbocharged,81 - 101,4400 - 6000,146 - 242,4000 - 4500,3.0,4.0,MPFi,Yes,Automatic,6.0,17 - 18,35 - 40,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3746 - 3995,1710 - 1780,1530 - 1640,178 - 307,2456 - 2550,Unknown,699000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2011.0,Comprehensive,Petrol,5.0,60000 - 86000,1,796 - 1197,Manual,72 - 78,FWD,17 - 18,In-Line,73 - 81,4400 - 6000,11 - 101,3500 - 4000,4.0,4.0,MPFi,No,Manual,5.0,17 - 18,43 - 93,BS IV,Standard/Other,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,3746 - 3995,1647 - 1710,1495 - 1530,163 - 165,2 - 2400,Unknown,175000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2023.0,Unknown,Petrol,5.0,500 - 27000,1,1497 - 5461,Automatic,138 - 536,AWD,17 - 18,In-Line,121 - 536,4400 - 6000,242 - 750,4000 - 4500,4.0,4.0,MPFi,Yes,Automatic,7.0,18 - 20,27 - 35,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Drum,4420 - 5391,1780 - 2230,1530 - 1640,178 - 307,2650 - 3215,Unknown,3900000.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2024.0,Zero Dep,Petrol,5.0,500 - 27000,1,1197 - 1199,Automatic,85 - 108,FWD,17 - 18,Standard Brand Engine,81 - 101,4400 - 6000,101 - 113,4500 - 6000,4.0,4.0,MPFi,No,Automatic,6.0,17 - 18,27 - 35,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3746 - 3995,1647 - 1710,1495 - 1530,165 - 170,2456 - 2550,Unknown,875000.0,Not Applicable,Not Applicable,150 - 165,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2019.0,Zero Dep,Diesel,7.0,60000 - 86000,1,1497 - 5461,Manual,138 - 536,RWD,21 - 34,V-Type,121 - 536,3000 - 4400,242 - 750,1400 - 2800,4.0,4.0,Direct Injection,Yes,Manual,5.0,Not Applicable,Not Applicable,BS IV,Double Wishbone,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Drum,4420 - 5391,1780 - 2230,1640 - 1995,163 - 165,2650 - 3215,1755 - 3250,1600000.0,11 - 17,45 - 60,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2015.0,Comprehensive,Petrol,5.0,500 - 27000,1,1199 - 1497,Manual,108 - 138,FWD,17 - 18,V-Type,101 - 121,6000 - 7900,113 - 146,4500 - 6000,4.0,4.0,MPFi,No,Manual,5.0,17 - 18,35 - 40,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,4420 - 5391,1647 - 1710,1 - 1495,163 - 165,2550 - 2650,Unknown,393000.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2022.0,Unknown,,5.0,42143 - 60000,1,796 - 1197,Automatic,138 - 536,FWD,21 - 34,In-Line,121 - 536,4400 - 6000,242 - 750,3500 - 4000,4.0,4.0,MPFi,Yes,Automatic,5.0,Not Applicable,Not Applicable,ZEV,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Solid Disc,3746 - 3995,1780 - 2230,1530 - 1640,178 - 307,2456 - 2550,Unknown,800000.0,Not Applicable,Not Applicable,Unknown,0,26 - 40,50 - 58,564 - 900,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II
2017.0,Unknown,Petrol,5.0,42143 - 60000,2,1497 - 5461,Automatic,138 - 536,RWD,18 - 21,In-Line,121 - 536,4400 - 6000,242 - 750,3500 - 4000,4.0,4.0,Direct Injection,Yes,Automatic,9.0,7 - 17,43 - 93,BS V,Standard/Other,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,4420 - 5391,1780 - 2230,1 - 1495,100 - 163,2650 - 3215,1755 - 3250,1880000.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
