Registration Year,Insurance,Fuel Type,Seats,Kms Driven,Ownership,Transmission,Drive Type,Mileage,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Transmission Type,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Top Speed,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Port,Volume
2025.0,Comprehensive,Electric,5.0,2000,1,Automatic,AWD,12.62,523.0,6000.0,670.0,4000.0,Automatic,Standard/Other,Standard/Other,Electric,Fixed,Ventilated Disc,Ventilated Disc,163.0,2920.0,2631.0,540000.0,Unknown,82.56,0.0,0.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,13140000000.0
2025.0,Zero Dep,Electric,5.0,5600,1,Automatic,FWD,20.92,120.69,6000.0,190.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Solid Disc,190.0,2445.0,Unknown,4998000.0,Unknown,35.0,56.0,300.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,10971953902.0
2022.0,Comprehensive,Electric,5.0,56000,1,Automatic,FWD,12.8,140.8,3500.0,350.0,5000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Solid Disc,180.0,2585.0,Unknown,409000.0,Unknown,44.5,0.0,0.0,PMSM (Permanent Magnet Synchronous Motor),Not Applicable,,12642522120.0
2024.0,Comprehensive,Electric,5.0,2200,1,Automatic,FWD,19.71,201.0,6000.0,310.0,4000.0,Automatic,MacPherson Strut,Standard/Other,Electric,Fixed,Ventilated Disc,Solid Disc,175.0,2720.0,2160.0,300000.0,Unknown,60.48,50.0,570.0,PMSM (Permanent Magnet Synchronous Motor),Blade Battery (LFP),CCS-II,13490296875.0
2024.0,Unknown,Electric,5.0,8000,1,Automatic,RWD,22.41,308.43,6000.0,360.0,4000.0,Automatic,Standard/Other,Standard/Other,Electric,Fixed,Ventilated Disc,Ventilated Disc,170.0,2920.0,2501.0,1175000.0,Unknown,82.56,0.0,0.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,13140000000.0
2022.0,Comprehensive,Electric,5.0,28000,1,Automatic,AWD,17.23,321.84,6000.0,630.0,4000.0,Automatic,Standard/Other,Standard/Other,Electric,Tilt Only,Ventilated Disc,Ventilated Disc,160.0,3014.0,Unknown,2100000.0,200,71.0,31.0,445.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-I,18721597050.0
2025.0,Zero Dep,Electric,5.0,1900,1,Automatic,RWD,17.0,282.0,6000.0,380.0,4000.0,Automatic,MacPherson Strut,Multi-Link,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,207.0,2775.0,Unknown,217000.0,Unknown,79.0,1220.0,480.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,15470663362.0
2025.0,Zero Dep,Electric,5.0,1900,1,Automatic,RWD,27.39,282.0,6000.0,380.0,4000.0,Automatic,MacPherson Strut,Multi-Link,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,207.0,2775.0,Unknown,217000.0,Unknown,79.0,1220.0,480.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,15470663362.0
2021.0,Unknown,Electric,5.0,42500,1,Automatic,FWD,18.3,127.0,6000.0,245.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,205.0,2498.0,Unknown,819999.0,Unknown,30.2,60.0,549.6,PMSM (Permanent Magnet Synchronous Motor),Not Applicable,CCS-I,11613504738.0
2025.0,Unknown,Electric,5.0,2500,1,Automatic,RWD,23.0,282.0,6000.0,380.0,4000.0,Automatic,MacPherson Strut,Multi-Link,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,207.0,2775.0,Unknown,1075000.0,Unknown,79.0,1220.0,480.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,13561853619.0
