Registration Year,Insurance,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Top Speed,Volume
2014.0,Unknown,5.0,90000,2,2993,Automatic,RWD,21.56,Standard,258.0,4000.0,560.0,1500.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Power Adjustable,Solid Disc,Solid Disc,152.0,3210.0,Unknown,1250000.0,16.46,80.0,250,16556244138.0
2021.0,Comprehensive,5.0,27000,1,1493,Automatic,FWD,19.0,Standard,113.42,4000.0,250.0,2750.0,4.0,CRDi,Yes,Automatic,6.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,165.0,2500.0,Unknown,975000.0,19.0,45.0,Unknown,11742024100.0
2023.0,Comprehensive,5.0,25000,1,1493,Automatic,2WD,19.1,Standard,114.41,4000.0,250.0,2750.0,4.0,CRDi,Yes,Automatic,6.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,170.0,2610.0,Unknown,1875000.0,19.1,50.0,Unknown,12924765000.0
2016.0,Comprehensive,5.0,47877,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,495000.0,27.39,37.0,170,10526625250.0
2016.0,Unknown,5.0,160000,2,1248,Manual,FWD,25.2,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,163.0,2450.0,1405.0,819999.0,25.2,42.0,155,10193472000.0
2014.0,Unknown,5.0,90000,2,2993,Automatic,RWD,17.8,Standard,258.0,4000.0,560.0,1500.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Power Adjustable,Solid Disc,Solid Disc,152.0,3210.0,Unknown,819999.0,16.46,80.0,250,16556244138.0
2023.0,Comprehensive,5.0,35710,1,1493,Manual,FWD,18.4,Standard,98.63,4000.0,240.0,2750.0,4.0,CRDi,Yes,Manual,6.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,165.0,2500.0,Unknown,245000.0,18.4,45.0,Unknown,11742024100.0
2023.0,Comprehensive,5.0,42932,1,1493,Automatic,2WD,19.1,Standard,114.41,4000.0,250.0,2750.0,4.0,CRDi,Yes,Automatic,6.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,190.0,2610.0,Unknown,565000.0,19.1,50.0,Unknown,12924765000.0
2023.0,Comprehensive,7.0,28000,1,1956,Automatic,FWD,14.08,Turbocharged,167.67,3750.0,350.0,2500.0,4.0,MPFi,Yes,Automatic,6.0,BS VI,MacPherson Strut,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,165.0,2741.0,Unknown,2690000.0,14.08,50.0,Unknown,15766690124.0
2023.0,Comprehensive,5.0,42932,1,1493,Automatic,2WD,19.1,Standard,114.41,4000.0,250.0,2750.0,4.0,CRDi,Yes,Automatic,6.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,183.0,2610.0,Unknown,482000.0,19.1,50.0,Unknown,12924765000.0
2025.0,Unknown,7.0,18645,1,2755,Automatic,2WD,14.0,Standard,201.15,3420.0,500.0,2820.0,4.0,Direct Injection,Yes,Automatic,6.0,BS VI 2.0,Double Wishbone,Multi-Link,Hydraulic,Tilt and Telescopic,Ventilated Disc,Ventilated Disc,170.0,2745.0,2610.0,5975000.0,27.39,80.0,190,16321820375.0
2023.0,Unknown,5.0,25900,1,1493,Automatic,2WD,16.0,Standard,114.41,4000.0,250.0,2750.0,4.0,CRDi,Yes,Automatic,6.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,160.0,2500.0,Unknown,1800000.0,27.39,45.0,160,11742024100.0
2022.0,Comprehensive,5.0,26500,1,1950,Automatic,RWD,16.1,In-Line,191.76,3800.0,400.0,2800.0,4.0,CRDi,Yes,Automatic,9.0,BS VI,Standard/Other,Multi-Link,Electric,Tilt and Telescopic,Ventilated Disc,Ventilated Disc,170.0,3079.0,Unknown,585000.0,16.1,80.0,240,15667413125.0
2018.0,Comprehensive,7.0,54999,1,2993,Automatic,AWD,20.6,Standard,255.0,3750.0,600.0,2250.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Fixed,Solid Disc,Drum,178.0,2922.0,Unknown,991000.0,18.0,85.0,209,20441422560.0
2016.0,Unknown,5.0,160000,2,1248,Manual,FWD,25.2,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,163.0,2450.0,1405.0,819999.0,25.2,42.0,155,10193472000.0
2014.0,Unknown,5.0,90000,2,2993,Automatic,RWD,16.2,Standard,258.0,4000.0,560.0,1500.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Power Adjustable,Solid Disc,Solid Disc,152.0,3210.0,Unknown,819999.0,16.46,80.0,250,16556244138.0
2025.0,Unknown,5.0,20000,1,2925,Automatic,AWD,6.1,In-Line,325.86,4200.0,700.0,3200.0,4.0,Direct Injection,No,Automatic,9.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,160.0,2600.0,Unknown,430999.0,27.39,100.0,210,18314903563.0
2023.0,Comprehensive,5.0,12422,1,1493,Manual,FWD,20.45,Standard,98.63,4000.0,240.0,2750.0,4.0,CRDi,Yes,Manual,6.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,160.0,2500.0,Unknown,819999.0,27.39,45.0,Unknown,11742024100.0
2018.0,Unknown,5.0,47616,1,1968,Automatic,AWD,16.65,Standard,141.0,4000.0,340.0,2750.0,4.0,CRDi,Yes,Automatic,7.0,BS IV,MacPherson Strut,Standard/Other,Electric,Tilt Only,Solid Disc,Solid Disc,149.0,2677.0,2250.0,2695000.0,16.65,71.0,Unknown,13793588688.0
