Registration Year,Insurance,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Transmission Type,Gearbox,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Top Speed,Volume
2014.0,Third Party,CNG,5.0,94000,1,998,Manual,FWD,26.6,Standard,58.16,6200.0,77.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Standard/Other,Power,Collapsible/Fixed,Ventilated Disc,Drum,165.0,2400.0,1350.0,9600000.0,137,9146858500.0
2022.0,Unknown,CNG,7.0,23000,1,1462,Manual,2WD,26.11,Standard,86.63,5500.0,121.5,4200.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,180.0,2740.0,1820.0,155000.0,Unknown,12886799250.0
2023.0,Comprehensive,CNG,5.0,35672,1,1197,Manual,FWD,30.61,Standard,76.43,6000.0,98.5,4300.0,4.0,Manual,5.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,188.0,2520.0,1450.0,550000.0,180,10443825000.0
2014.0,Comprehensive,CNG,5.0,71500,2,998,Manual,FWD,26.6,Standard,58.16,6200.0,77.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Standard/Other,Power,Collapsible/Fixed,Ventilated Disc,Drum,165.0,2400.0,1350.0,4200000.0,137,9146858500.0
2021.0,Comprehensive,CNG,7.0,62679,1,1462,Manual,FWD,26.08,Standard,91.19,6000.0,122.0,4400.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,190.0,2740.0,1795.0,595000.0,Unknown,12886799250.0
2018.0,Comprehensive,CNG,5.0,41340,1,998,Manual,FWD,32.52,Standard,58.33,5500.0,78.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,180.0,2435.0,1340.0,541000.0,Unknown,9917842500.0
2014.0,Unknown,CNG,5.0,69000,1,998,Manual,FWD,26.6,Standard,58.16,6200.0,77.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Standard/Other,Power,Collapsible/Fixed,Ventilated Disc,Drum,165.0,2400.0,1350.0,391000.0,137,9146858500.0
2014.0,Third Party,CNG,5.0,40150,1,998,Manual,FWD,26.6,Standard,58.16,6200.0,77.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Standard/Other,Power,Collapsible/Fixed,Ventilated Disc,Drum,165.0,2400.0,1350.0,933000.0,137,9146858500.0
2024.0,Third Party,CNG,5.0,12700,1,1199,Automatic,FWD,28.06,Standard,72.41,6000.0,95.0,3500.0,4.0,Automatic,5.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,168.0,2400.0,Unknown,1414000.0,150,9691844175.0
2022.0,Comprehensive,CNG,5.0,39615,1,1199,Manual,FWD,26.49,V-Type,72.4,6000.0,95.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,188.0,2450.0,Unknown,1450000.0,121,10258671852.0
2018.0,Unknown,CNG,7.0,36000,1,1373,Manual,FWD,17.5,Standard,80.46,6000.0,112.0,4000.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,185.0,2740.0,Unknown,351000.0,164,12269698200.0
2021.0,Unknown,CNG,7.0,34680,1,1462,Manual,FWD,26.08,Standard,91.19,6000.0,122.0,4400.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,170.0,2740.0,1795.0,375000.0,Unknown,12886799250.0
2013.0,Third Party,CNG,5.0,25432,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,675000.0,140,7571248750.0
2013.0,Third Party,CNG,5.0,25432,1,796,Manual,FWD,33.0,Standard,47.3,6000.0,69.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Collapsible/Fixed,Solid Disc,Drum,160.0,2360.0,1185.0,675000.0,140,7571248750.0
2017.0,Unknown,CNG,7.0,56665,1,1373,Manual,FWD,17.5,Standard,80.46,6000.0,112.0,4000.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,185.0,2740.0,Unknown,750000.0,164,12269698200.0
2017.0,Unknown,CNG,7.0,56665,1,1373,Manual,FWD,17.5,Standard,80.46,6000.0,112.0,4000.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,185.0,2740.0,Unknown,666000.0,164,12269698200.0
2022.0,Comprehensive,CNG,4.0,21927,2,998,Manual,FWD,18.3,Standard,58.33,5500.0,78.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,160.0,2380.0,1170.0,5798000.0,Unknown,8475003200.0
2022.0,Comprehensive,CNG,5.0,38137,1,998,Manual,FWD,30.47,Standard,58.33,6000.0,78.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,165.0,2425.0,1350.0,615000.0,Unknown,9222720000.0
2022.0,Comprehensive,CNG,5.0,38137,1,998,Manual,FWD,30.47,Standard,58.33,6000.0,78.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,165.0,2425.0,1350.0,911000.0,Unknown,9222720000.0
2013.0,Third Party,CNG,5.0,44814,1,998,Manual,FWD,26.6,Standard,58.16,6200.0,77.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Standard/Other,Power,Collapsible/Fixed,Ventilated Disc,Drum,165.0,2400.0,1350.0,5399000.0,137,9146858500.0
