Registration Year,Insurance,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Top Speed,Volume
2023.0,Unknown,5.0,30000,1,1199,Manual,FWD,19.33,Standard,86.79,6000.0,115.0,3250.0,4.0,CRDi,No,Manual,5.0,19.33,37.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Drum,165.0,2501.0,Unknown,700000.0,Unknown,10664731350.0
2023.0,Unknown,7.0,20000,1,1332,Automatic,FWD,17.5,Standard,160.92,5500.0,250.0,4000.0,4.0,Direct Injection,Yes,Automatic,7.0,9.7,52.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,165.0,2540.0,Unknown,5600000.0,207,15885073960.0
2023.0,Third Party,5.0,5600,1,998,Automatic,FWD,17.01,Turbocharged,118.41,6000.0,172.0,4000.0,4.0,CRDi,No,Automatic,7.0,17.0,45.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Solid Disc,165.0,2500.0,Unknown,1195000.0,Unknown,11434049550.0
2022.0,Unknown,5.0,26800,1,999,Automatic,FWD,17.2,Standard,113.98,5500.0,178.0,4500.0,4.0,Direct Injection,Yes,Automatic,6.0,17.2,50.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Drum,188.0,2651.0,1660.0,1199000.0,Unknown,11986832000.0
2024.0,Third Party,5.0,26905,1,1197,Automatic,FWD,19.2,Standard,81.8,6000.0,113.8,4000.0,4.0,MPFi,Yes,Automatic,5.0,19.2,37.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,190.0,2450.0,Unknown,890000.0,Unknown,10640073150.0
2023.0,Comprehensive,5.0,16000,1,1497,Automatic,2WD,14.0,Standard,113.18,6300.0,143.8,4500.0,4.0,MPFi,No,Automatic,6.0,14.0,50.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Solid Disc,165.0,2610.0,Unknown,1748999.0,195,12584595000.0
2022.0,Unknown,5.0,17000,1,1199,Automatic,FWD,18.3,Standard Brand Engine,88.5,6000.0,110.0,4800.0,4.0,Direct Injection,No,Automatic,6.0,18.3,35.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,226.0,2470.0,Unknown,745000.0,Unknown,10143744450.0
2024.0,Comprehensive,5.0,10370,1,1197,Automatic,FWD,27.39,Standard,108.62,5000.0,200.0,3500.0,4.0,MPFi,Yes,Automatic,6.0,17.0,42.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Solid Disc,160.0,2600.0,Unknown,950000.0,Unknown,11836254165.0
2017.0,Comprehensive,5.0,25000,1,1199,Manual,FWD,23.84,V-Type,84.0,6000.0,114.0,3500.0,4.0,MPFi,No,Manual,5.0,23.84,35.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2400.0,Unknown,335000.0,150,9470431170.0
2024.0,Comprehensive,6.0,23000,1,1482,Automatic,FWD,21.56,Standard,157.81,5500.0,253.0,3500.0,4.0,Direct Injection,Yes,Automatic,7.0,17.0,45.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,160.0,2780.0,Unknown,1695000.0,174,13957776000.0
