Registration Year,Insurance,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Power,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,No. of Cylinders,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Length,Width,Height,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Top Speed,Super Charge,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Port
2023.0,Comprehensive,Petrol,5.0,27802,1,1497,Automatic,,2WD,17.7,Standard,113.42,6300.0,144.0,4500.0,4.0,4.0,MPFi,No,Automatic,6.0,17.7,50.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,4365.0,1800.0,1645.0,200.0,2610.0,Unknown,1425000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2022.0,Comprehensive,Petrol,5.0,15209,1,999,Automatic,98.63 bhp,FWD,18.24,Turbocharged,98.63,5000.0,152.0,4400.0,3.0,4.0,MPFi,Yes,Automatic,6.0,18.24,40.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3991.0,1750.0,1605.0,205.0,2500.0,Unknown,699000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2011.0,Comprehensive,Petrol,5.0,81762,1,1197,Manual,,FWD,18.5,In-Line,80.0,5200.0,11.4,4000.0,4.0,4.0,MPFi,No,Manual,5.0,18.5,45.0,BS IV,Standard/Other,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,3940.0,1710.0,1505.0,165.0,2.0,Unknown,175000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2023.0,Unknown,Petrol,5.0,10000,1,1984,Automatic,187.74 bhp,AWD,23.84,In-Line,187.74,6000.0,320.0,4100.0,4.0,4.0,MPFi,No,Automatic,7.0,17.0,35.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Drum,4518.0,2022.0,1558.0,170.0,2680.0,Unknown,3900000.0,Not Applicable,Not Applicable,220,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2024.0,Zero Dep,Petrol,5.0,20000,1,1199,Automatic,88.50 bhp,FWD,18.3,Standard Brand Engine,88.5,6000.0,110.0,4800.0,4.0,4.0,MPFi,Yes,Automatic,6.0,18.3,35.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3995.0,1695.0,1501.0,165.0,2500.0,Unknown,875000.0,Not Applicable,Not Applicable,160,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2019.0,Zero Dep,Diesel,7.0,80000,1,2393,Manual,147.8 bhp,RWD,17.0,V-Type,147.8,3400.0,343.0,2800.0,4.0,4.0,Direct Injection,Yes,Manual,5.0,Not Applicable,Not Applicable,BS IV,Double Wishbone,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Drum,4735.0,1830.0,1795.0,160.0,2750.0,2430.0,1600000.0,13.68,55.0,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2015.0,Comprehensive,Petrol,5.0,20000,1,1497,Manual,117.3 bhp,FWD,17.4,V-Type,117.3,6600.0,145.0,4600.0,4.0,4.0,MPFi,No,Manual,5.0,17.4,40.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,4440.0,1695.0,1495.0,165.0,2600.0,Unknown,393000.0,Not Applicable,Not Applicable,195,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2022.0,Unknown,Electric,5.0,60000,1,1197,Automatic,141.04 bhp,FWD,18.9,In-Line,141.04,6000.0,250.0,4000.0,4.0,4.0,CRDi,No,Automatic,5.0,Not Applicable,Not Applicable,ZEV,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Solid Disc,3993.0,1811.0,1616.0,190.0,2498.0,Unknown,800000.0,Not Applicable,Not Applicable,Unknown,0,40.5,56.0,900.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II
2017.0,Unknown,Petrol,5.0,50000,2,1991,Automatic,181.03 bhp,RWD,17.29,In-Line,181.03,5500.0,300.0,4000.0,4.0,4.0,Direct Injection,Yes,Automatic,9.0,14.74,66.0,BS V,Standard/Other,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Solid Disc,4686.0,2020.0,1442.0,130.0,2840.0,2030.0,1880000.0,Not Applicable,Not Applicable,235,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2023.0,Unknown,Diesel,5.0,50000,1,1497,Manual,113.31 bhp,FWD,23.23,Turbocharged,113.31,3750.0,260.0,2750.0,4.0,4.0,EFI,Yes,Manual,6.0,Not Applicable,Not Applicable,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3995.0,1804.0,1620.0,208.0,2498.0,Unknown,1150000.0,23.23,44.0,180,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
