url,Price,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Top Speed,Drive Type,Fuel,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Valve Configuration,Fuel Supply System,Turbo Charger,Super Charge,Transmission Type,Gearbox,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Steering Gear Type,Turning Radius,Front Brake Type,Rear Brake Type,Acceleration,0-100kmph,Length,Width,Height,Seating Capacity,Ground Clearance Unladen,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,No. of Doors,Mileage,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Petrol Highway Mileage,Ground Clearance,Global NCAP Safety Rating,Boot Space,Shock Absorbers Type,Range,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Warranty,Charging Time (A.C),Charging Time (D.C),Charging Port,Acceleration 0-100kmph,Charging Time,Fast Charging,Braking (100-0kmph),Quarter Mile (Tested),City driveability (20-80kmph),Braking (80-0 kmph),No. of Airbags,Diesel Highway Mileage,Braking (60-0 kmph),Alloy Wheel Size Front,Alloy Wheel Size Rear,Reported Boot Space,Reported Ground Clearance (Unladen),Drag Coefficient,Quarter Mile,0-100Kmph (Tested),Ground Clearance (Laden),Boot Space Rear Seat Folding,Motor Power,Battery Type,Regenerative Braking,Regenerative Braking Levels,Charging Options,Charger Type,Charging Time (15 A Plug Point),Charging Time (7.2 kW AC Fast Charger),Charging Time (50 kW DC Fast Charger),Petrol Mileage WLTP,3rd Gear (30-80kmph),4th Gear (40-100kmph),Range - Tested,Acceleration 0-60kmph,Emission Control System,Approach Angle,Break-over Angle,Departure Angle,CNG Mileage ARAI,CNG Fuel Tank Capacity,Secondary Fuel Type,Petrol Mileage (ARAI),Petrol Fuel Tank Capacity (Litres)
https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-o-diesel-at-dt-cars-Faridabad_b42e095e-73dc-49d6-918c-09b334ce1ad5.htm,₹18.25 Lakh,Dec 2024,Comprehensive,Diesel,5 Seats,"20,390 Kms",ballabhgarh,First Owner,1493 cc,Automatic,2024,1493 cc,114 bhp,,FWD,,1.5L U2 CRDi,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,4,4,DOHC,CRDi,Yes,,Automatic,6-Speed AT,19.1 kmpl,50 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt & Telescopic,,5.3 m,Disc,Disc,,,4330 mm,1790 mm,1635 mm,5,190 mm,2610 mm,,,,,5,19.1 kmpl,,,,190 mm,,,,,,,,,,,,,,,,,,,,,,,18 Inch,18 Inch,433 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Audi-a6-35-tfsi-cars-New-Delhi_87a89d2d-5720-48fe-b998-d45c10b3e3c2.htm,₹23.90 Lakh,Feb 2018,Comprehensive,Petrol,5 Seats,"52,000 Kms",New Delhi,First Owner,1798 cc,Automatic,2018,1798 cc,187.74 bhp,233  kmph,FWD,Petrol,In Line Petrol Engine,1798 cc,187.74bhp@4200-6200rpm,320Nm@1400-4100rpm,4,4,DOHC,Direct Injection,Yes,No,Automatic,7 Speed,,,Euro V,Adaptive,Adaptive,Power,Height & Reach,Rack & Pinion,5.95 metres,Ventilated Disc,Ventilated Disc,7.9 Seconds,7.9 Seconds,4933 mm,2086 mm,1455 mm,5,165 mm,2912 mm,1627 mm,1618 mm,1610 kg,2115 kg,4,,15.26 kmpl,75 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Mercedes-benz-c-class-c-200-avantgarde-cars-New-Delhi_3cdab9f6-dd6b-445b-ac35-6d05cd7bafb6.htm,₹16 Lakh,May 2015,-,Petrol,5 Seats,"67,000 Kms",New Delhi,Second Owner,1991 cc,Automatic,2015,1991 cc,181.04 bhp,235km/hr kmph,RWD,Petrol,In Line Engine,1991 cc,181.04bhp@5500rpm,300Nm@1200-1400rpm,4,4,DOHC,Direct Injection,Yes,No,Automatic,7 Speed,,,Euro V,McPherson Strut,Multi Link,Power,Tilt Steering,Rack & Pinion,5.61 meters,Disc,Disc,7.3 Seconds,7.3 Seconds,4686 mm,2020 mm,1442 mm,5,,2840 mm,1588 mm,1570 mm,1545 kg,2030 kg,4,,14.74 kmpl,66 Litres,,,,,Gas Filled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Honda-city-vx-mt-cars-Noida_088e2ef6-e110-4f33-b145-1e301f61978d.htm,₹9.25 Lakh,Jul 2021,Comprehensive,Petrol,5 Seats,"50,000 Kms",New Delhi,First Owner,1498 cc,Manual,2021,1498 cc,119.35 bhp,,,Petrol,Water Cooled Inline i-VTEC DOHC with VTC,1498 cc,119.35bhp@6600rpm,145Nm@4300rpm,4,4,DOHC,,,,Manual,6 Speed,,,BS VI,McPherson Strut with Coil Spring,Torsion Beam with Coil Spring,Electric,Telescopic & Tilt,,5.3,Ventilated Disc,Drum,,,4549 mm,1748 mm,1489 mm,5,,2600 mm,1496 mm,1484 mm,1107-1153 kg,1482-1528 kg,4,18.6 kmpl,18.6 kmpl,40 Litres,,,,,Telescopic Hydraulic Nitrogen Gas-Filled,,,,,,,,,,,,,43.12m,17.98s@124.87kmph,,27.19m,6,,,,,,,,,10.99s,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-vx-option-cars-New-Delhi_5b5041ff-f1b6-40e3-8fcb-cf4f530fc470.htm,₹5.50 Lakh,Jan 2016,-,Petrol,5 Seats,"63,000 Kms",New Delhi,First Owner,1497 cc,Manual,2016,1497 cc,117.3 bhp,195  kmph,FWD,Petrol,i VTEC Engine,1497 cc,117.3bhp@6600rpm,145Nm@4600rpm,4,4,SOHC,PGM-Fi,No,No,Manual,5 Speed,,,BS IV,MacPherson Strut,Torsion Beam,Power,Tilt & Collapsible,Rack & Pinion,5.3 meters,Disc,Drum,10 Seconds,10 Seconds,4440 mm,1695 mm,1495 mm,5,165 mm,2600 mm,1480 mm,1465 mm,1065 kg,,4,17.8 kmpl,17.8 kmpl,40 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Honda-wr-v-vx-diesel-cars-Ghaziabad_095ca90d-89b4-43f8-aa82-c37927155a11.htm,₹6.95 Lakh,Mar 2021,Comprehensive,Diesel,5 Seats,"73,542 Kms",Lucknow,First Owner,1498 cc,Manual,2021,1498 cc,97.89 bhp,,,Diesel,i-DTEC,1498 cc,97.89bhp@3600rpm,200Nm@1750rpm,4,4,DOHC,,,,Manual,6 Speed,23.7 kmpl,40 Litres,BS VI,"MacPherson Strut, Coil Spring","Twisted Torsion Beam, Coil Spring",Electric,Tilt and Telescopic,,5.3,Ventilated Disc,Drum,,,3999 mm,1734 mm,1601 mm,5,,2555 mm,,,1234 kg,,5,23.7 kmpl,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Hyundai-i20-12-spotz-cars-New-Delhi_1e89653b-a734-4027-bdb3-ec4af077e879.htm,₹4.90 Lakh,Jan 2019,Comprehensive,Petrol,5 Seats,"57,000 Kms",New Delhi,First Owner,1197 cc,Manual,2018,1197 cc,81.83 bhp,170  kmph,FWD,Petrol,Kappa VTVT Petrol Engine,1197 cc,81.83bhp@6000rpm,114.7Nm@4000rpm,4,4,DOHC,MPFI,No,No,Manual,5 Speed,,,BS IV,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle with Coil spring,Power,Tilt & Telescopic,Rack & Pinion,5.2 metres,Disc,Drum,13.2 Seconds,13.2 Seconds,3985 mm,1734 mm,1505 mm,5,170 mm,2570 mm,1505 mm,1503 mm,1066 kg,,5,18.6 kmpl,18.6 kmpl,45 Litres,,,,,Gas Filled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Skoda-kodiaq-style-bsvi-cars-New-Delhi_70017499-d61e-45f0-b4fe-b6c842e91871.htm,₹31.75 Lakh,Mar 2023,Zero Dep,Petrol,7 Seats,"11,000 Kms",Noida,First Owner,1984 cc,Automatic,2023,1984 cc,187.74 bhp,,4WD,,2.0 L Turbocharged Petrol Engine,1984 cc,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,4,4,,,Yes,,Automatic,7-Speed DSG,,,BS VI,McPherson suspension with lower triangular links and torsion stabiliser,"Multi-element axle, with longitudinal and transverse links, with torsion stabiliser",Power,Tilt & Telescopic,,,Disc,Disc,,,4699 mm,1882 mm,1685 mm,7,192 mm,2791 mm,,,1774 kg,2493 kg,5,12.78 kmpl,12.78 kmpl,60 Litres,,192mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140mm,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Mercedes-benz-e-class-e250-cdi-avantgarde-cars-Faridabad_6eeb2fbd-96ee-4758-9230-a8b97237f2f1.htm,₹13.50 Lakh,Jul 2015,-,Diesel,5 Seats,"73,000 Kms",Chandigarh,First Owner,2143 cc,Automatic,2015,2143 cc,204 bhp,242  kmph,RWD,Diesel,In-Line Diesel Engine,2143 cc,204bhp@4200rpm,500Nm@1600-1800rpm,4,4,DOHC,CRDI,Yes,No,Automatic,7 Speed,13 kmpl,80 Litres,BS IV,Direct Control,Direct Control,Power,Tilt,Direct Steer,5.3 meters,Ventilated Disc,Solid Disc,7.5 Seconds,7.5 Seconds,4879 mm,2071 mm,1474 mm,5,123 mm,2874 mm,1598 mm,1614 mm,1800 kg,2280 kg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-sv-cars-New-Delhi_017a9424-c0f0-4777-b5fb-3c9673442572.htm,₹6 Lakh,Jan 2019,Third Party,Petrol,5 Seats,"70,000 Kms",Gurgaon,Second Owner,1497 cc,Manual,2017,1497 cc,117.3 bhp,195  kmph,FWD,Petrol,i VTEC Engine,1497 cc,117.3bhp@6600rpm,145Nm@4600rpm,4,4,SOHC,PGM-Fi,No,No,Manual,5 Speed,,,BS IV,MacPherson Strut,Torsion Beam,Power,Tilt & Collapsible,Rack & Pinion,5.3 meters,Disc,Drum,10 Seconds,10 Seconds,4440 mm,1695 mm,1495 mm,5,165 mm,2600 mm,1480 mm,1465 mm,1042 kg,,4,17.8 kmpl,17.8 kmpl,40 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
