,car_name,Price,Registration Year,Kms Driven,Ownership,Fuel,Transmission,Drive Type,Engine,Power,Mileage,No. of Cylinders,Turbo Charger,Seats,Kerb Weight,Ground Clearance Unladen,Petrol Fuel Tank Capacity,Diesel Fuel Tank Capacity,CNG Fuel Tank Capacity
656,Honda City Hybrid,₹19.74 Lakh,Jan 2023,"36,529 Kms",First Owner,Petrol,Automatic,,1498 cc,96.55 bhp,26.5 kmpl,4.0,,5 Seats,1280 kg,,40 Litres,,
657,Volkswagen Virtus,₹10.62 Lakh,Feb 2023,"59,269 Kms",First Owner,Petrol,Manual,FWD,999 cc,113.98 bhp,19.4 kmpl,3.0,Yes,5 Seats,1210 kg,179 mm,45 Litres,,
658,Volkswagen Virtus,₹10.07 Lakh,May 2023,"35,842 Kms",First Owner,Petrol,Manual,FWD,999 cc,113.98 bhp,19.4 kmpl,3.0,Yes,5 Seats,1188 kg,179 mm,45 Litres,,
659,Maruti Suzuki Wagon R,₹2.56 Lakh,Apr 2014,"99,094 Kms",First Owner,Petrol,Manual,,998 cc,65.71 bhp,24.35 kmpl,3.0,,5 Seats,810-835 kg,,32 Litres,,
660,Skoda Slavia,₹7.17 Lakh,Jun 2022,"68,713 Kms",First Owner,Petrol,Manual,FWD,999 cc,113.98 bhp,19.47 kmpl,3.0,Yes,5 Seats,1160-1215 kg,179 mm,45 Litres,,
661,Volkswagen Vento,₹6.22 Lakh,Oct 2020,"1,11,318 Kms",First Owner,Petrol,Automatic,FWD,999 cc,108.62 bhp,16.35 kmpl,4.0,Yes,5 Seats,1175 kg,163 mm,55 Litres,,
662,Hyundai Grand i10 Nios,₹6.11 Lakh,Aug 2020,"27,000 Kms",First Owner,Petrol,Automatic,,1197 cc,81.86 bhp,20.7 kmpl,4.0,No,5 Seats,1100 kg,,37 Litres,,
663,Honda WR-V,₹5 Lakh,Sept 2017,"1,15,388 Kms",First Owner,,Manual,FWD,1199 cc,88.7 bhp,17.5 kmpl,4.0,No,5 Seats,1103 kg,188 mm,40 Litres,,
664,Maruti Suzuki Alto 800,₹2.26 Lakh,Mar 2016,"63,968 Kms",Second Owner,Petrol,Manual,FWD,796 cc,46.3 bhp,19.7 kmpl,3.0,No,5 Seats,705 kg,160 mm,35 Litres,,
665,Honda Brio,₹2.39 Lakh,Dec 2015,"39,551 Kms",First Owner,Petrol,Manual,FWD,1198 cc,86.8 bhp,19.4 kmpl,4.0,No,5 Seats,925 kg,165 mm,35 Litres,,
666,Hyundai EON,₹2.21 Lakh,May 2016,"45,015 Kms",Third Owner,Petrol,Manual,RWD,814 cc,,22 kmpl,3.0,No,5 Seats,910 kg,,32 Litres,,
667,Maruti Suzuki Celerio,₹2.82 Lakh,Aug 2016,"67,753 Kms",Third Owner,Petrol,Manual,FWD,998 cc,67.05 bhp,21.63 kmpl,3.0,No,5 Seats,835 kg,165 mm,35 Litres,,
668,Maruti Suzuki Wagon R,₹2.01 Lakh,Mar 2013,"59,722 Kms",Second Owner,Petrol,Manual,,998 cc,65.71 bhp,24.35 kmpl,3.0,,5 Seats,810-835 kg,,32 Litres,,
669,Honda Brio,₹2.35 Lakh,Jul 2012,"66,000 Kms",First Owner,Petrol,Manual,FWD,1198 cc,86.8 bhp,19.4 kmpl,4.0,No,5 Seats,925 kg,165 mm,35 Litres,,
670,Maruti Suzuki Alto 800,₹2.60 Lakh,Feb 2019,"57,000 Kms",First Owner,Petrol,Manual,FWD,796 cc,47.3 bhp,24.7 kmpl,3.0,No,5 Seats,720 kg,160 mm,35 Litres,,
671,Honda Brio,₹2.10 Lakh,Apr 2012,"67,325 Kms",First Owner,Petrol,Manual,FWD,1198 cc,86.8 bhp,19.4 kmpl,4.0,No,5 Seats,925 kg,165 mm,35 Litres,,
672,Honda Jazz,₹3 Lakh,Jul 2016,"48,000 Kms",Second Owner,Petrol,Manual,FWD,1199 cc,88.7 bhp,18.7 kmpl,4.0,No,5 Seats,1042 kg,165 mm,40 Litres,,
673,Hyundai i20,₹4.91 Lakh,Jul 2018,"63,614 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.83 bhp,18.6 kmpl,4.0,No,5 Seats,1066 kg,170 mm,45 Litres,,
674,Honda Amaze,₹3.12 Lakh,Oct 2014,"58,096 Kms",First Owner,Petrol,Manual,FWD,1198 cc,86.7 bhp,17.8 kmpl,4.0,No,5 Seats,955 kg,165 mm,35 Litres,,
675,Hyundai Xcent,₹4.69 Lakh,Oct 2019,"23,463 Kms",Second Owner,Petrol,Manual,,,,,4.0,,,1120 kg,,,,
676,Maruti Suzuki Swift Dzire,₹3.08 Lakh,May 2013,"1,10,396 Kms",First Owner,Petrol,Manual,FWD,1197 cc,83.14 bhp,20.85 kmpl,4.0,No,5 Seats,945 kg,170 mm,42 Litres,,
677,Mahindra KUV 100 NXT,₹3.64 Lakh,Jun 2018,"47,618 Kms",First Owner,Petrol,Manual,2WD,1198 cc,82 bhp,18.15 kmpl,3.0,,6 Seats,1170 kg,170 mm,35 Litres,,
678,Hyundai Grand i10,₹4.95 Lakh,May 2018,"62,000 Kms",First Owner,Diesel,Manual,FWD,1186 cc,73.97 bhp,24 kmpl,3.0,No,5 Seats,1100 kg,165 mm,,43 Litres,
679,Kia Carens,₹15.28 Lakh,Mar 2022,"40,784 Kms",First Owner,Diesel,Automatic,FWD,1493 cc,114.41 bhp,,4.0,Yes,6 Seats,,,,45 Litres,
680,Honda Elevate,₹17 Lakh,,"12,979 Kms",,Petrol,Manual,FWD,1498 cc,119 bhp,15.31 kmpl,4.0,,5 Seats,1259 kg,,40 Litres,,
681,Hyundai EON,₹1.89 Lakh,Jan 2018,"39,841 Kms",Second Owner,Petrol,Manual,FWD,814 cc,55.2 bhp,21.1 kmpl,3.0,No,5 Seats,880 kg,170 mm,32 Litres,,
682,Hyundai Grand i10,₹3.69 Lakh,Nov 2015,"68,108 Kms",Second Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1060 kg,165 mm,43 Litres,,
683,Ford Ecosport,₹6.73 Lakh,Jul 2021,"1,11,294 Kms",First Owner,,Automatic,FWD,1499 cc,110 bhp,16.5 kmpl,4.0,No,5 Seats,1290 kg,200 mm,52 Litres,,
684,Honda WR-V,₹7 Lakh,Oct 2020,"1,02,907 Kms",First Owner,,Manual,FWD,1498 cc,98.6 bhp,25.5 kmpl,4.0,Yes,5 Seats,1198 kg,188 mm,,40 Litres,
685,Nissan Magnite,₹6.04 Lakh,Jan 2021,"60,170 Kms",First Owner,,Automatic,FWD,999 cc,98.63 bhp,17.4 kmpl,3.0,Yes,5 Seats,,205 mm,40 Litres,,
686,Hyundai Grand i10 Nios,₹6.50 Lakh,Oct 2021,"38,000 Kms",First Owner,Petrol,Automatic,,1197 cc,81.86 bhp,20.7 kmpl,4.0,No,5 Seats,1140 kg,,37 Litres,,
687,Maruti Suzuki Vitara Brezza,₹7.50 Lakh,Jan 2018,"40,000 Kms",First Owner,,Manual,FWD,1248 cc,88.5 bhp,24.3 kmpl,4.0,Yes,5 Seats,1185 kg,198 mm,,48 Litres,
688,Maruti Suzuki Swift Dzire,₹6.25 Lakh,Sept 2018,"45,000 Kms",First Owner,Petrol,Automatic,FWD,1197 cc,81.80 bhp,21.21 kmpl,4.0,No,5 Seats,860-895 kg,163 mm,37 Litres,,
689,Hyundai Tucson,₹28.50 Lakh,Oct 2022,"41,000 Kms",First Owner,Diesel,Automatic,2WD,1997 cc,183.72 bhp,,4.0,Yes,5 Seats,1745 kg,,,54 Litres,
690,Toyota Innova Crysta,₹12.54 Lakh,Oct 2016,"97,968 Kms",First Owner,Diesel,Manual,,2393 cc,147.51 bhp,,4.0,,8 Seats,,,,55 Litres,
691,Maruti Suzuki Celerio,₹2.90 Lakh,Feb 2016,"75,000 Kms",Second Owner,Petrol,Automatic,FWD,998 cc,67.04 bhp,23.1 kmpl,3.0,No,5 Seats,840 kg,120 mm,35 Litres,,
692,Honda Elevate,₹15.18 Lakh,Jan 2023,"24,114 Kms",First Owner,Petrol,Automatic,FWD,1498 cc,119 bhp,16.92 kmpl,4.0,,5 Seats,1213 kg,,40 Litres,,
693,Maruti Suzuki Wagon R,₹2.78 Lakh,Jul 2015,"69,451 Kms",First Owner,Petrol,Manual,,998 cc,65.71 bhp,24.35 kmpl,3.0,,5 Seats,810-835 kg,,32 Litres,,
694,Hyundai Alcazar,₹20.27 Lakh,Jun 2021,"31,008 Kms",First Owner,Diesel,Automatic,,1493 cc,113.42 bhp,18.1 kmpl,4.0,Yes,6 Seats,1770 kg,,,50 Litres,
695,Volkswagen Taigun,₹11.84 Lakh,Oct 2022,"86,513 Kms",First Owner,Petrol,Automatic,,1498 cc,147.51 bhp,17.88 kmpl,4.0,Yes,5 Seats,1312 kg,188 mm,,,
696,Kia Carens,₹13.77 Lakh,Mar 2022,"99,421 Kms",First Owner,Diesel,Automatic,FWD,1493 cc,114.41 bhp,,4.0,Yes,6 Seats,,,,45 Litres,
697,Kia Seltos,₹13.08 Lakh,Jun 2021,"46,552 Kms",First Owner,Petrol,Automatic,FWD,1353 cc,138.08 bhp,16.5 kmpl,4.0,Yes,5 Seats,1535 kg,,50 Litres,,
698,Volkswagen Virtus,₹12.64 Lakh,Jul 2022,"40,824 Kms",Second Owner,Petrol,Automatic,FWD,1498 cc,147.51 bhp,19.62 kmpl,4.0,Yes,5 Seats,1269 kg,179 mm,45 Litres,,
699,Honda Brio,₹1.70 Lakh,Mar 2013,"87,101 Kms",First Owner,Petrol,Manual,FWD,1198 cc,86.8 bhp,19.4 kmpl,4.0,No,5 Seats,925 kg,165 mm,35 Litres,,
700,Maruti Suzuki Alto 800,₹2.25 Lakh,Aug 2015,"59,095 Kms",First Owner,Petrol,Manual,FWD,796 cc,46.3 bhp,19.7 kmpl,3.0,No,5 Seats,705 kg,160 mm,35 Litres,,
701,Maruti Suzuki Wagon R,₹2.15 Lakh,Nov 2013,"99,926 Kms",First Owner,Petrol,Manual,,998 cc,65.71 bhp,24.35 kmpl,3.0,,5 Seats,810-835 kg,,32 Litres,,
702,Maruti Suzuki Alto 800,₹2.25 Lakh,Jun 2015,"34,965 Kms",Second Owner,Petrol,Manual,FWD,796 cc,47.3 bhp,24.7 kmpl,3.0,No,5 Seats,725 kg,160 mm,35 Litres,,
703,Maruti Suzuki Alto 800,₹2.76 Lakh,Apr 2018,"60,564 Kms",First Owner,Petrol,Manual,FWD,796 cc,47.3 bhp,24.7 kmpl,3.0,No,5 Seats,725 kg,160 mm,35 Litres,,
704,Maruti Suzuki Alto 800,₹2.34 Lakh,Dec 2016,"47,238 Kms",Second Owner,Petrol,Manual,FWD,796 cc,46.3 bhp,19.7 kmpl,3.0,No,5 Seats,705 kg,160 mm,35 Litres,,
705,Renault KWID,₹2.35 Lakh,Oct 2017,"65,000 Kms",Second Owner,Petrol,Manual,FWD,999 cc,67 bhp,23.01 kmpl,3.0,No,5 Seats,690 kg,180 mm,28 Litres,,
706,Honda Amaze,₹3 Lakh,Jan 2016,"54,000 Kms",Second Owner,Petrol,Manual,FWD,1198 cc,86.7 bhp,17.8 kmpl,4.0,No,5 Seats,955 kg,165 mm,35 Litres,,
707,Honda Amaze,₹2.70 Lakh,Aug 2015,"1,18,259 Kms",Second Owner,Diesel,Manual,FWD,1498 cc,98.63 bhp,24.7 kmpl,4.0,Yes,5 Seats,1029 kg,,,35 Litres,
708,Honda Amaze,₹3.91 Lakh,Jan 2014,"70,508 Kms",First Owner,Petrol,Manual,FWD,1198 cc,86.7 bhp,17.8 kmpl,4.0,No,5 Seats,955 kg,165 mm,35 Litres,,
709,Honda Amaze,₹3.13 Lakh,Nov 2013,"54,455 Kms",First Owner,Petrol,Manual,FWD,1198 cc,86.7 bhp,17.8 kmpl,4.0,No,5 Seats,955 kg,165 mm,35 Litres,,
710,Honda Amaze,₹3.07 Lakh,Nov 2015,"92,391 Kms",Second Owner,Petrol,Manual,FWD,1199 cc,89 bhp,18.65 kmpl,4.0,,5 Seats,952-986 kg,172 mm,35 Litres,,
711,VX i-VTEC,₹3.56 Lakh,Nov 2013,"39,266 Kms",Second Owner,Petrol,Manual,FWD,1198 cc,86.7 bhp,17.8 kmpl,4.0,No,5 Seats,955 kg,165 mm,35 Litres,,
712,Maruti Suzuki Baleno,₹4.05 Lakh,Nov 2017,"1,17,232 Kms",First Owner,Diesel,Manual,FWD,1248 cc,74 bhp,27.39 kmpl,4.0,Yes,5 Seats,985 kg,170 mm,,37 Litres,
713,Skoda Rapid,₹5.78 Lakh,Aug 2021,"87,562 Kms",Second Owner,Petrol,Manual,FWD,999 cc,108.62 bhp,18.97 kmpl,3.0,Yes,5 Seats,1112-1138 kg,,55 Litres,,
714,Ford Freestyle,₹4.82 Lakh,Jul 2021,"1,16,338 Kms",First Owner,Petrol,Manual,FWD,1194 cc,94.93 bhp,18.5 kmpl,3.0,No,5 Seats,1026-1044 kg,,42 Litres,,
715,Honda Amaze,₹3.95 Lakh,Jul 2014,"44,724 Kms",First Owner,Petrol,Manual,FWD,1198 cc,86.7 bhp,17.8 kmpl,4.0,No,5 Seats,955 kg,165 mm,35 Litres,,
716,Maruti Suzuki Baleno,₹4.67 Lakh,Dec 2018,"94,538 Kms",Second Owner,Petrol,Automatic,FWD,1197 cc,83.1 bhp,21.4 kmpl,4.0,No,5 Seats,935 kg,170 mm,37 Litres,,
717,Honda Amaze,₹3.56 Lakh,Nov 2013,"39,266 Kms",Second Owner,Petrol,Manual,FWD,1198 cc,86.7 bhp,17.8 kmpl,4.0,No,5 Seats,955 kg,165 mm,35 Litres,,
718,Hyundai i20,₹5.40 Lakh,Oct 2016,"62,000 Kms",First Owner,Diesel,Manual,FWD,1396 cc,88.73 bhp,22.54 kmpl,4.0,Yes,5 Seats,1515 kg,170 mm,,45 Litres,
719,Hyundai Grand i10,₹5.25 Lakh,Aug 2019,"61,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1140 kg,165 mm,43 Litres,,
720,Hyundai i20,₹4.60 Lakh,May 2015,"51,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.83 bhp,18.6 kmpl,4.0,No,5 Seats,1066 kg,170 mm,45 Litres,,
721,Maruti Suzuki Swift Dzire,₹5.21 Lakh,Apr 2019,"67,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.80 bhp,21.21 kmpl,4.0,No,5 Seats,860-895 kg,163 mm,37 Litres,,
722,Honda Jazz,₹3.50 Lakh,2016,"80,000 Kms",First Owner,Petrol,Automatic,FWD,1199 cc,88.7 bhp,19 kmpl,4.0,No,5 Seats,1066 kg,165 mm,40 Litres,,
723,Maruti Suzuki Swift Dzire,₹5.50 Lakh,May 2018,"68,000 Kms",First Owner,Petrol,Automatic,FWD,1197 cc,81.80 bhp,21.21 kmpl,4.0,No,5 Seats,860-895 kg,163 mm,37 Litres,,
724,Maruti Suzuki Swift Dzire,₹5.70 Lakh,2018,"25,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.80 bhp,21.21 kmpl,4.0,No,5 Seats,860-895 kg,163 mm,37 Litres,,
725,Maruti Suzuki Ciaz,₹5.25 Lakh,Mar 2017,"60,000 Kms",First Owner,Petrol,Automatic,FWD,1373 cc,91.1 bhp,19.12 kmpl,4.0,No,5 Seats,1010 kg,170 mm,43 Litres,,
726,Hyundai Xcent Prime,₹3.95 Lakh,Nov 2019,"75,000 Kms",Second Owner,CNG,Manual,,1197 cc,65.39 bhp,,4.0,,5 Seats,1220 kg,,,,65 Litres
727,Maruti Suzuki Baleno,₹4.40 Lakh,Dec 2017,"66,000 Kms",First Owner,Petrol,Automatic,FWD,1197 cc,83.1 bhp,21.4 kmpl,4.0,No,5 Seats,910 kg,170 mm,37 Litres,,
728,Maruti Suzuki Vitara Brezza,₹8.67 Lakh,Jul 2023,"47,587 Kms",Second Owner,Petrol,Manual,FWD,1462 cc,103.26 bhp,17.03 kmpl,4.0,,5 Seats,1110-1130 kg,,48 Litres,,
729,Ford Ecosport,₹7.02 Lakh,Aug 2021,"37,435 Kms",First Owner,Petrol,Manual,FWD,1496 cc,120.69 bhp,15.9 kmpl,3.0,No,5 Seats,1221 kg,,52 Litres,,
730,Ford Ecosport,₹6.13 Lakh,Oct 2020,"76,278 Kms",First Owner,,Manual,FWD,1499 cc,110 bhp,15.8 kmpl,4.0,No,5 Seats,1290 kg,200 mm,52 Litres,,
731,Honda CR-V,₹7.75 Lakh,May 2017,"1,14,633 Kms",Second Owner,Petrol,Manual,,1997 cc,,14 kmpl,4.0,,5 Seats,1527 kg,,45 Litres,,
732,Hyundai i20,₹6.21 Lakh,Aug 2019,"58,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.6 kmpl,4.0,No,5 Seats,1140 kg,170 mm,40 Litres,,
733,Maruti Suzuki Baleno,₹6.50 Lakh,Nov 2021,"77,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,83.1 bhp,21.4 kmpl,4.0,No,5 Seats,880 kg,170 mm,37 Litres,,
734,Hyundai Tucson,₹7.51 Lakh,Mar 2017,"70,000 Kms",First Owner,,Automatic,2WD,1999 cc,152.88 bhp,12.95 kmpl,4.0,No,5 Seats,1497 kg,195 mm,62 Litres,,
735,Tata Curvv,₹13.90 Lakh,Dec 2024,"22,486 Kms",First Owner,,Manual,FWD,1497 cc,116 bhp,15 kmpl,4.0,Yes,5 Seats,,208 mm,,44 Litres,
736,Honda City,₹10.14 Lakh,Mar 2023,"30,869 Kms",Second Owner,Petrol,Manual,,1498 cc,119.35 bhp,18.6 kmpl,4.0,,5 Seats,1107-1153 kg,,40 Litres,,
737,Honda Amaze,₹7.59 Lakh,Apr 2024,"20,395 Kms",First Owner,Petrol,Manual,FWD,1199 cc,89 bhp,18.65 kmpl,4.0,,5 Seats,952-986 kg,172 mm,35 Litres,,
738,Ford Ecosport,₹6.42 Lakh,Jun 2020,"48,973 Kms",Second Owner,,Automatic,FWD,1499 cc,110 bhp,16.5 kmpl,4.0,No,5 Seats,1290 kg,200 mm,52 Litres,,
739,Tata Tigor,₹6.64 Lakh,Jun 2023,"26,071 Kms",First Owner,Petrol,Manual,FWD,1199 cc,84 bhp,20.3 kmpl,3.0,No,5 Seats,1052 kg,170 mm,35 Litres,,
740,Ford Ecosport,₹8.75 Lakh,Feb 2021,"59,000 Kms",First Owner,,Manual,FWD,1498 cc,98.96 bhp,21.7 kmpl,4.0,Yes,5 Seats,1309 kg,200 mm,,52 Litres,
741,Maruti Suzuki Swift Dzire,₹6.25 Lakh,May 2017,"57,000 Kms",First Owner,Diesel,Automatic,FWD,1248 cc,74 bhp,26.59 kmpl,4.0,Yes,5 Seats,1070 kg,170 mm,,42 Litres,
742,Hyundai i20,₹6.25 Lakh,Oct 2020,"55,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.6 kmpl,4.0,No,5 Seats,1140 kg,170 mm,40 Litres,,
743,Jeep Compass,₹7.75 Lakh,Sept 2019,"51,000 Kms",First Owner,,Manual,4X2,1956 cc,170 bhp,17.1 kmpl,4.0,Yes,5 Seats,1562 s kg,178 mm,,60 Litres,
744,Jeep Compass,₹6.45 Lakh,2018,"2,11,000 Kms",First Owner,,Manual,4X2,1956 cc,170 bhp,17.1 kmpl,4.0,Yes,5 Seats,1562 s kg,178 mm,,60 Litres,
745,Maruti Suzuki Baleno,₹6.50 Lakh,Jan 2022,"28,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.80 bhp,21.01 kmpl,4.0,No,5 Seats,865-890 kg,170 mm,37 Litres,,
746,Kia Seltos,₹15.99 Lakh,Sept 2023,"32,218 Kms",First Owner,Petrol,Automatic,2WD,1482 cc,157.81 bhp,17.9 kmpl,4.0,Yes,5 Seats,,,50 Litres,,
747,Honda City,₹15.25 Lakh,Jan 2023,"8,873 Kms",First Owner,Petrol,Manual,FWD,1497 cc,117.6 bhp,17.4 kmpl,4.0,No,5 Seats,1088 kg,165 mm,40 Litres,,
748,Honda Elevate,₹17 Lakh,Mar 2024,"27,903 Kms",First Owner,Petrol,Automatic,FWD,1498 cc,119 bhp,16.92 kmpl,4.0,,5 Seats,1213 kg,,,,
749,Hyundai i10,₹2.84 Lakh,Sept 2014,"59,955 Kms",Second Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
750,Hyundai i10,₹2.51 Lakh,Jun 2015,"70,810 Kms",Second Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
751,Maruti Suzuki Alto 800,₹2.86 Lakh,Jun 2021,"1,13,595 Kms",First Owner,Petrol,Manual,FWD,796 cc,46.3 bhp,19.7 kmpl,3.0,No,5 Seats,705 kg,160 mm,35 Litres,,
752,Renault KWID,₹2.28 Lakh,Oct 2017,"47,111 Kms",Second Owner,Petrol,Manual,FWD,999 cc,67 bhp,21.74 kmpl,3.0,No,5 Seats,730 kg,184 mm,28 Litres,,
753,Maruti Suzuki Alto 800,₹2.05 Lakh,Apr 2016,"1,23,987 Kms",First Owner,Petrol,Manual,FWD,796 cc,46.3 bhp,19.7 kmpl,3.0,No,5 Seats,705 kg,160 mm,35 Litres,,
754,Maruti Suzuki Alto 800,₹1.99 Lakh,Jul 2017,"1,09,529 Kms",Second Owner,Petrol,Manual,FWD,796 cc,46.3 bhp,19.7 kmpl,3.0,No,5 Seats,705 kg,160 mm,35 Litres,,
755,Honda Amaze,₹2.73 Lakh,Aug 2013,"1,05,352 Kms",First Owner,Petrol,Manual,FWD,1198 cc,86.7 bhp,17.8 kmpl,4.0,No,5 Seats,955 kg,165 mm,35 Litres,,
756,Hyundai i10,₹2.78 Lakh,Apr 2013,"62,833 Kms",First Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
757,Honda Amaze,₹2.75 Lakh,Jun 2015,"58,000 Kms",Second Owner,Petrol,Manual,FWD,1198 cc,86.7 bhp,18 kmpl,4.0,No,5 Seats,940 kg,165 mm,35 Litres,,
758,Hyundai i10,₹2.85 Lakh,Nov 2015,"68,000 Kms",First Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
759,Honda WR-V,₹4.85 Lakh,Apr 2018,"1,12,971 Kms",First Owner,,Manual,FWD,1199 cc,88.7 bhp,17.5 kmpl,4.0,No,5 Seats,1103 kg,188 mm,40 Litres,,
760,Honda WR-V,₹4.84 Lakh,Nov 2018,"81,998 Kms",First Owner,,Manual,FWD,1199 cc,88.7 bhp,17.5 kmpl,4.0,No,5 Seats,1103 kg,188 mm,40 Litres,,
761,Hyundai Grand i10,₹3.66 Lakh,May 2018,"22,048 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1100 kg,165 mm,43 Litres,,
762,Honda City,₹3.55 Lakh,Sept 2016,"78,000 Kms",Second Owner,Diesel,Manual,FWD,1498 cc,98.6 bhp,26 kmpl,4.0,Yes,5 Seats,1150 kg,165 mm,,40 Litres,
763,Maruti Suzuki Ciaz,₹5.41 Lakh,Sept 2016,"70,000 Kms",First Owner,Diesel,Manual,FWD,1248 cc,88.5 bhp,28.09 kmpl,4.0,Yes,5 Seats,1115 kg,170 mm,,43 Litres,
764,Honda City,₹3.35 Lakh,Jul 2014,"87,000 Kms",Second Owner,Diesel,Manual,FWD,1498 cc,98.6 bhp,26 kmpl,4.0,Yes,5 Seats,1150 kg,165 mm,,40 Litres,
765,Maruti Suzuki Swift Dzire,₹4.50 Lakh,Dec 2018,"92,453 Kms",First Owner,Petrol,Manual,FWD,1197 cc,83.14 bhp,20.85 kmpl,4.0,No,5 Seats,965 kg,170 mm,42 Litres,,
766,Honda WR-V,₹4.80 Lakh,May 2019,"2,06,382 Kms",First Owner,,Manual,FWD,1199 cc,88.7 bhp,17.5 kmpl,4.0,No,5 Seats,1084 kg,188 mm,40 Litres,,
767,Renault KWID,₹3.25 Lakh,Jun 2022,"50,600 Kms",First Owner,Petrol,Manual,,999 cc,67.06 bhp,21.46 kmpl,3.0,,5 Seats,699 kg,184 mm,28 Litres,,
768,Maruti Suzuki Swift,₹4.11 Lakh,Sept 2016,"78,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.80 bhp,21.21 kmpl,4.0,No,5 Seats,855-885 kg,163 mm,37 Litres,,
769,Honda City,₹3.60 Lakh,Jul 2014,"62,000 Kms",Second Owner,Petrol,Manual,FWD,1497 cc,117.3 bhp,17.4 kmpl,4.0,No,5 Seats,1049 kg,165 mm,40 Litres,,
770,Hyundai i20,₹5.51 Lakh,Aug 2017,"59,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.83 bhp,18.6 kmpl,4.0,No,5 Seats,1066 kg,170 mm,45 Litres,,
771,Kia Seltos,₹10.62 Lakh,May 2022,"40,934 Kms",Second Owner,Petrol,Automatic,2WD,1497 cc,113.42 bhp,17.7 kmpl,4.0,No,5 Seats,,,50 Litres,,
772,Honda City,₹14.41 Lakh,Jan 2023,"22,805 Kms",First Owner,Petrol,Manual,FWD,1497 cc,117.6 bhp,17.4 kmpl,4.0,No,5 Seats,1088 kg,165 mm,40 Litres,,
773,Kia Seltos,₹7.56 Lakh,Oct 2020,"46,990 Kms",First Owner,Petrol,Manual,FWD,1353 cc,138.08 bhp,16.5 kmpl,4.0,Yes,5 Seats,1515 kg,,50 Litres,,
774,Hyundai Venue,₹6.42 Lakh,Jun 2019,"82,279 Kms",First Owner,Diesel,Manual,FWD,1498 cc,98.6 bhp,23.7 kmpl,4.0,Yes,5 Seats,1360 kg,,,45 Litres,
775,Kia Sonet,₹8.25 Lakh,Feb 2021,"72,000 Kms",First Owner,Diesel,Manual,FWD,1493 cc,81.86 bhp,18.4 kmpl,4.0,No,5 Seats,1192 kg,,,,
776,Tata Altroz,₹6.30 Lakh,2023,"30,000 Kms",First Owner,Petrol,Manual,FWD,1199 cc,86.79 bhp,19.33 kmpl,3.0,No,5 Seats,,165 mm,37 Litres,,
777,Tata Nexon,₹50.55 Lakh,Jul 2021,"1,21,481 Kms",First Owner,Diesel,Manual,FWD,1497 cc,108.5 bhp,21.5 kmpl,4.0,Yes,5 Seats,1305 kg,,,44 Litres,
778,Maruti Suzuki Alto K10,₹1.87 Lakh,Nov 2016,"79,235 Kms",Second Owner,Petrol,Manual,FWD,998 cc,65.71 bhp,24.39 kmpl,3.0,,5 Seats,,,27 Litres,,
779,Toyota Innova Crysta,₹15.49 Lakh,Nov 2022,"51,797 Kms",First Owner,Petrol,Manual,RWD,2694 cc,163.60 bhp,,4.0,,7 Seats,1730 kg,,65 Litres,,
780,Honda City,₹15.51 Lakh,Jan 2023,"15,001 Kms",First Owner,Petrol,Automatic,FWD,1497 cc,,16.4 kmpl,4.0,No,5 Seats,1085 kg,160 mm,,,
781,Tata Harrier,₹14.50 Lakh,Oct 2021,"63,000 Kms",First Owner,Diesel,Manual,,1956 cc,167.67 bhp,16.35 kmpl,4.0,Yes,5 Seats,1660 kg,,,50 Litres,
782,Maruti Suzuki Alto 800,₹2.46 Lakh,Nov 2017,"48,391 Kms",First Owner,Petrol,Manual,FWD,796 cc,46.3 bhp,19.7 kmpl,3.0,No,5 Seats,705 kg,160 mm,35 Litres,,
783,Renault KWID,₹2.22 Lakh,Mar 2016,"68,567 Kms",First Owner,Petrol,Manual,FWD,799 cc,53.3 bhp,25.17 kmpl,3.0,No,5 Seats,710 kg,180 mm,28 Litres,,
