,car_name,Price,Registration Year,Kms Driven,Ownership,Fuel,Transmission,Drive Type,Engine,Power,Mileage,No. of Cylinders,Turbo Charger,Seats,Kerb Weight,Ground Clearance Unladen,Petrol Fuel Tank Capacity,Diesel Fuel Tank Capacity,CNG Fuel Tank Capacity
568,Mahindra XUV500,₹4.35 Lakh,Jun 2012,"73,000 Kms",Second Owner,Diesel,Manual,FWD,2179 cc,140 bhp,15.1 kmpl,4.0,Yes,7 Seats,1940 kg,,,70 Litres,
569,Honda WR-V,₹4.20 Lakh,Mar 2018,"1,29,947 Kms",Second Owner,,Manual,FWD,1498 cc,98.6 bhp,25.5 kmpl,4.0,Yes,5 Seats,1198 kg,188 mm,,40 Litres,
570,Maruti Suzuki Wagon R,₹2.18 Lakh,Dec 2013,"81,417 Kms",Second Owner,CNG,Manual,FWD,998 cc,58.16 bhp,26.6 km/kg,3.0,No,5 Seats,960 kg,165 mm,,,7 Litres
571,Hyundai i10,₹1.95 Lakh,Apr 2014,"59,160 Kms",Second Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
572,Maruti Suzuki Alto 800,₹2.22 Lakh,Dec 2019,"40,800 Kms",First Owner,Petrol,Manual,,796 cc,47.33 bhp,22.05 kmpl,3.0,,5 Seats,755 kg,,35 Litres,,
573,Hyundai i10,₹1.90 Lakh,Aug 2011,"65,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,78.9 bhp,20.36 kmpl,4.0,No,5 Seats,930 kg,165 mm,35 Litres,,
574,Toyota Etios,₹3 Lakh,Feb 2012,"63,000 Kms",Second Owner,Diesel,Manual,,1364 cc,,23.59 kmpl,4.0,,5 Seats,920 kg,,,45 Litres,
575,Volkswagen Polo,₹1.90 Lakh,Jan 2012,"1,04,000 Kms",Second Owner,Petrol,Manual,FWD,1198 cc,73.9 bhp,16.47 kmpl,3.0,No,5 Seats,1030 kg,168 mm,45 Litres,,
576,Hyundai Santro Xing,₹1.75 Lakh,Feb 2010,"73,000 Kms",Second Owner,CNG,Manual,FWD,1086 cc,62.1 bhp,11.88 km/kg,3.0,No,5 Seats,845 kg,164 mm,,,35 Litres
577,Datsun RediGO,₹1.80 Lakh,Mar 2018,"74,000 Kms",First Owner,Petrol,Manual,2WD,999 cc,67 bhp,22.5 kmpl,3.0,No,5 Seats,730 kg,,28 Litres,,
578,Maruti Suzuki Swift,₹2.66 Lakh,Jun 2011,"57,491 Kms",First Owner,Petrol,Manual,,1197 cc,,16.1 kmpl,4.0,Yes,5 Seats,1010 kg,170 mm,,,
579,Hyundai Xcent,₹2.15 Lakh,Sept 2015,"1,10,643 Kms",Second Owner,Petrol,Manual,FWD,1197 cc,82 bhp,19.1 kmpl,4.0,No,5 Seats,1160 kg,165 mm,43 Litres,,
580,Hyundai i10,₹1.78 Lakh,Nov 2012,"71,330 Kms",First Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
581,Hyundai Creta,₹8.68 Lakh,Dec 2020,"92,638 Kms",Second Owner,Petrol,Automatic,,1353 cc,138.12 bhp,11 kmpl,4.0,Yes,5 Seats,1465 kg,,50 Litres,,
582,Mahindra Bolero Neo,₹7.75 Lakh,Sept 2021,"56,000 Kms",First Owner,,Manual,RWD(with MTT),1493 cc,100 bhp,17.29 kmpl,3.0,Yes,7 Seats,1505 kg,180 mm,,50 Litres,
583,Maruti Suzuki S Cross,₹6.65 Lakh,May 2018,"65,000 Kms",First Owner,,Manual,FWD,1248 cc,88.5 bhp,25.1 kmpl,4.0,Yes,5 Seats,1230 kg,180 mm,,48 Litres,
584,Hyundai Santro,₹4.75 Lakh,Jun 2021,"13,801 Kms",First Owner,Petrol,Automatic,FWD,1086 cc,68.05 bhp,20.3 kmpl,4.0,No,5 Seats,1070 kg,,35 Litres,,
585,Mahindra TUV 300,₹3.95 Lakh,Mar 2016,"40,000 Kms",First Owner,,Manual,RWD,1493 cc,100 bhp,18.49 kmpl,3.0,Yes,7 Seats,1725 kg,184 mm,,60 Litres,
586,Datsun RediGO,₹1.32 Lakh,Aug 2017,"78,773 Kms",Second Owner,Petrol,Manual,2WD,799 cc,53.64 bhp,22.7 kmpl,3.0,No,5 Seats,770 kg,,28 Litres,,
587,Maruti Suzuki Alto 800,₹2.26 Lakh,Jul 2019,"49,491 Kms",First Owner,Petrol,Manual,,796 cc,47.33 bhp,22.05 kmpl,3.0,,5 Seats,755 kg,,35 Litres,,
588,Honda Jazz,₹7.62 Lakh,Aug 2022,"32,995 Kms",First Owner,Petrol,Manual,,1199 cc,88.50 bhp,17.1 kmpl,4.0,,5 Seats,1063 kg,,40 Litres,,
589,Honda Jazz,₹6.51 Lakh,Aug 2021,"52,088 Kms",First Owner,Petrol,Manual,,1199 cc,88.50 bhp,17.1 kmpl,4.0,,5 Seats,1063 kg,,40 Litres,,
590,Ford Fiesta,₹6.31 Lakh,Jul 2021,"1,09,001 Kms",Second Owner,Petrol,Manual,2wd,1499 cc,,17 kmpl,4.0,No,5 Seats,1117 kg,156 mm,43 Litres,,
591,Hyundai Elantra,₹7.35 Lakh,May 2017,"48,000 Kms",First Owner,Petrol,Manual,FWD,1999 cc,149.92 bhp,14.59 kmpl,4.0,No,5 Seats,1240 kg,167 mm,50 Litres,,
592,Mahindra XUV300,₹8.91 Lakh,Jul 2023,"90,859 Kms",First Owner,Petrol,Automatic,FWD,1197 cc,108.62 bhp,16.5 kmpl,3.0,Yes,5 Seats,,,42 Litres,,
